[(12.976959, 77.57853999999998)],[ChIJ459bMg4WrjsRUTOYwhJWQpY]
[(12.978161, 77.54913199999999)],[ChIJp7dqx-89rjsRbuhPzXwrtyo]
[(12.9825429, 77.6071303)],[ChIJNYxx0okWrjsRDdNpbFC9Ebc]
[(12.975517, 77.57484999999997)],[ChIJ7YtgvQ8WrjsReL6qxAUdS8A]
[(12.968702, 77.57901420000007)],[ChIJu2sDwwsWrjsRf_UIuygLllY]
[(12.975232, 77.60550999999998)],[ChIJE8R9PncWrjsRx-ovjncl0LU]
[(12.967767, 77.57258300000001)],[ChIJCWEXwwcWrjsRW-KSNtkQMw4]
[(12.978485, 77.54914299999996)],[ChIJWYVsyO89rjsRPsSrBKjGm9w]
[(12.977607, 77.57946300000003)],[ChIJVVVVhVkYrjsR3qd7p1fDDaQ]
[(12.950245, 77.54112800000007)],[ChIJ6d7IHBM-rjsRM5psoXLtQyY]
[(12.944356, 77.57259499999998)],[ChIJ____P5cVrjsRsmO2wjVQSQ0]
[(12.9721671, 77.65407920000007)],[ChIJcYHYMVURrjsRrW-t_titgCc]
[(12.9941237, 77.6636863)],[ChIJKebv6TcRrjsRGKEpdlT_sLE]
[(13.0076615, 77.56225640000002)],[ChIJHyE54yoWrjsRSn5iZQuFtN8]
[(12.9233989, 77.57005400000003)],[ChIJraQbWyE-rjsRu_ZGT49uVxY]
[(12.9965514, 77.61208469999997)],[ChIJsfTfofYWrjsRj-23-13u1vE]
[(12.931787, 77.62210900000002)],[ChIJL1VVVVoUrjsRE0zEf-BdxrU]
[(12.931329, 77.57588940000005)],[ChIJlaIB9ZoVrjsRHiIdAGuNjCM]
[(12.9917004, 77.57023230000004)],[ChIJQW16AyMWrjsRXRBGAeBa94A]
[(12.986368, 77.59592900000007)],[ChIJ0cGvhGgWrjsRdiuZY_7IoxI]
[(12.9084701, 77.60033899999996)],[ChIJkbRj8LUVrjsRoLQQWPryr6A]
[(12.9728347, 77.64827620000005)],[ChIJ5-u72qoWrjsR0fB57AfD_bg]
[(12.9724341, 77.64927130000001)],[ChIJ5-u72qoWrjsR7No3zBB1Qt4]
[(12.9019947, 77.70673050000005)],[ChIJrWBvLnITrjsR5l3q7HX4Y7M]
[(12.909667, 77.550117)],[ChIJQ1et5s8_rjsRg6o7JwEYFZs]
[(12.9271319, 77.55090270000005)],[ChIJyd-qJi4-rjsRm7ctO71hzPY]
[(12.978356, 77.64131399999997)],[ChIJIfeMpK8WrjsRtnZAtTw2iKA]
[(12.929551, 77.58538399999998)],[ChIJRXume6IVrjsR0tOpy5psgYA]
[(12.912172, 77.6379561)],[ChIJVVVVVZoUrjsRbhThW9-sdWg]
[(12.9344029, 77.61101180000003)],[ChIJs1uhhU0UrjsR-YXNmhLZoi4]
[(12.9916063, 77.5703105)],[ChIJTdfWTy4WrjsRGzYySyv4tO8]
[(12.9961192, 77.57160160000001)],[ChIJQcYy6SQWrjsRwhTsu8TvfxU]
[(12.8985115, 77.65132700000004)],[ChIJhzgj5aAUrjsR0-yMP0kkh84]
[(12.9916742, 77.57027330000005)],[ChIJRz9gZSUWrjsRi9yXZlW39uE]
[(12.9263311, 77.55037670000002)],[ChIJ-QCJoTs-rjsRWD3Y5nYzk4U]
[(12.9929265, 77.66186219999997)],[ChIJycvgKjYRrjsRyyUAKoNkTgA]
[(12.9362144, 77.61611570000002)],[ChIJn5VHTE4UrjsR5VxBY0OVbCQ]
[(12.9343228, 77.61097100000006)],[ChIJk6Uehk0UrjsRoO5Hkkwi01o]
[(12.896497, 77.63578519999999)],[ChIJeaDbm2AWrjsRNcYE09K3b7g]
[(12.9563701, 77.70074729999999)],[ChIJqeQgQjMSrjsRyn_QKjMKxxc]
[(12.9931567, 77.66218430000004)],[ChIJTR7w1DcRrjsRTnlB7RFAxls]
[(13.0111971, 77.55477689999998)],[ChIJ7zSWp3g9rjsRdgSOPlneVvk]
[(12.9972505, 77.6968789)],[ChIJqSK3_goRrjsRlnvXb0zkDDE]
[(12.9681731, 77.65082810000001)],[ChIJFSu-cKkWrjsR4ZvdLEXIAPw]
[(12.9318289, 77.63199359999999)],[ChIJ77RddGcUrjsRHcTmua-a7bU]
[(12.9793726, 77.72867509999992)],[ChIJWdXyqvYRrjsRLzgKdquczFA]
