[(12.8279084, 77.50514769999995)],[ChIJs9VRRf1ArjsRyfoiqd8JKNE]
[(12.9136186, 77.63902540000004)],[ChIJrYERMo4UrjsRmfF0yr-t4Rc]
[(13.0211341, 77.53522750000002)],[ChIJO9jbdhI9rjsR3Nf7JiF1xA8]
[(12.9135165, 77.5374898)],[ChIJmduuc7Y_rjsRIxTFI6hJQdc]
[(12.9687075, 77.63663840000004)],[ChIJB8bX5B0UrjsROe1IQtzJcLA]
[(12.9420613, 77.49815850000005)],[ChIJJ2xxj5Q-rjsRbT4GXZpQ5PU]
[(12.918236, 77.481401)],[ChIJ09jBi9c-rjsR2XHZiuFqy5g]
[(13.0072737, 77.55782219999992)],[ChIJOYe8DYE9rjsRwrRi_c6x8cU]
[(12.9744437, 77.70080610000002)],[ChIJJTZ0FYARrjsRwHthAfqIBFY]
[(12.9295563, 77.54805950000002)],[ChIJrx5WZzA-rjsRrdoURqiaZuo]
[(12.9218052, 77.62747960000002)],[ChIJtVT0ofUUrjsRHFhW5HQgOcM]
[(12.9105, 77.55116699999996)],[ChIJjYzOJNA_rjsRQ5PsaMZmlFU]
[(12.9211479, 77.58979109999996)],[ChIJvcfkDwoVrjsRefq2WDq17Vg]
[(12.9121976, 77.59086560000003)],[ChIJGx5FdA4VrjsREntPOrTJGHc]
[(12.9968453, 77.65856250000002)],[ChIJYewwIzQRrjsR5ctFtYDfab0]
[(12.9860805, 77.55909399999996)],[ChIJmcVCHfU9rjsRW3uy1SsIOR8]
[(12.9089723, 77.52557539999998)],[ChIJNTBRvK8_rjsRks4x1f9BFO0]
[(13.0213115, 77.5969986)],[ChIJUScB0q8XrjsRBlkJuxWkEpw]
[(12.9211221, 77.58925390000002)],[ChIJawEkDQoVrjsR29IMlDr-erI]
[(12.926681, 77.55432919999998)],[ChIJz29lkS4-rjsRFNNXpBDz060]
[(12.8607946, 77.59252200000003)],[ChIJme63bsRqrjsR5EUIpBn79NQ]
[(12.9880506, 77.56748170000003)],[ChIJ7_gLUx8WrjsRvLTdxHHmOww]
[(12.9327865, 77.54394300000001)],[ChIJu2XKkTk-rjsRoMWBsYFwqx0]
[(12.9499879, 77.7157737)],[ChIJKy4jWkcSrjsRCeOZsESRxD8]
[(12.9609174, 77.70812839999996)],[ChIJo_mQLDASrjsRFa61YPlYYVo]
[(12.9581221, 77.71923340000001)],[ChIJWQNSTDwSrjsRXKfhQbR3Qmc]
[(12.938862, 77.73448699999994)],[ChIJcdDiuXoSrjsRvZvrAf6RnK8]
[(12.9654361, 77.70176519999995)],[ChIJ61f_jCwSrjsRyZW2zbhjnKI]
[(12.9498444, 77.68808530000001)],[ChIJSWlpCMgTrjsRwo94xQf0mFI]
[(12.9655617, 77.71551929999998)],[ChIJ____ayQSrjsR-ne9mRm79aw]
[(12.9601139, 77.7207512)],[ChIJWT0MEz0SrjsR_nAGnUqsXv4]
[(12.950943, 77.69587339999998)],[ChIJw0k2XcoTrjsRW2XMU-7IZVk]
[(12.9658105, 77.7072564)],[ChIJHylPwy4SrjsR9kvHbDQs1E0]
[(12.9643831, 77.71093710000002)],[ChIJA4JrgCUSrjsRkUU1y0boJsg]
