[(12.9569886, 77.563718)],[ChIJQQlr9iE-rjsRWPygjg6Ivs4]
[(12.9810398, 77.60139230000004)],[ChIJO19ohWQWrjsRijDmGiaBKzA]
[(12.9599344, 77.52666929999998)],[ChIJT6-y3Hk-rjsRA4erR1Udmns]
[(12.9733661, 77.57986779999999)],[ChIJwX2w9A4WrjsRqLjv_B3XaKY]
[(12.96465, 77.58389999999997)],[ChIJYxnfLeAVrjsRKJAUr21h6hE]
[(12.973774, 77.54394000000002)],[ChIJQ-moaOY9rjsRE7lfrORoptM]
[(12.9654217, 77.60159759999999)],[ChIJW_NOXdYVrjsRV8DxxuZwpIA]
[(12.9770647, 77.57768320000002)],[ChIJG88HGg4WrjsR_YVEDpkTADc]
[(12.9815981, 77.6045183)],[ChIJ5wDaBmMWrjsRyGAd-gvzF6A]
[(12.963349, 77.58119299999998)],[ChIJqcY_GeYVrjsRn_vtJzgxYNw]
[(12.96871, 77.58811200000002)],[ChIJCwgcpHUWrjsRfeiZ15oEtlA]
[(12.9715987, 77.59456269999998)],[ChIJoWTtLr49rjsROKKW0AeUdvg]
[(12.963334, 77.57900710000001)],[ChIJ7w9R0uMVrjsReWPN2RFXxlY]
[(12.981683, 77.559617)],[ChIJrbsgZfY9rjsRNJEnL2h_WAo]
[(12.9660696, 77.58647919999999)],[ChIJJ_R9kt8VrjsRkHr01XpQj2k]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRlz0jx91G_wI]
[(12.9723, 77.57028300000002)],[ChIJt6GM-QYWrjsRcAQp6JVNdeE]
[(12.9696952, 77.60659910000004)],[ChIJ6dPvxn8WrjsRElCvXnd67_o]
[(12.9625645, 77.54398100000003)],[ChIJHQiipwo-rjsRfIf2OrxPCdw]
[(12.9729581, 77.6125174)],[ChIJ7Y5UPHcWrjsR9l7U6vpyVas]
[(12.9631725, 77.60004260000005)],[ChIJXX7_59YVrjsRWGlbkkdKEnk]
[(12.9720865, 77.58300299999996)],[ChIJ4V_JYwsWrjsRrOjCT-MesyU]
[(12.972567, 77.59506199999998)],[ChIJuVUySncWrjsRgPLni6wXUJg]
[(12.963, 77.58212000000003)],[ChIJG2rE4uAVrjsRmJvXXPr4wXM]
[(12.9613216, 77.5945226)],[ChIJW3kIJ9oVrjsRaLRFEDNEyAs]
[(12.9656236, 77.6038575)],[ChIJacf-uNUVrjsROs8qk-lFgbA]
[(12.9673633, 77.53645440000003)],[ChIJhdeOVN49rjsRe_-MgOEfMNg]
[(12.9370432, 77.57805910000002)],[ChIJXw8nRpEVrjsRybEpk_p7YU4]
[(13.0089221, 77.69674480000003)],[ChIJf4TPAAcRrjsR3LCV8cpwpq8]
[(12.9333443, 77.61330840000005)],[ChIJ01VVVU4UrjsRW-PbZCAKiEk]
[(13.0120656, 77.63514150000003)],[ChIJDdUradcWrjsRSviGj-vzQGg]
[(12.9559748, 77.69335000000001)],[ChIJl3uP7MwTrjsRSJjyk5nF3Rc]
[(12.9355754, 77.61526600000002)],[ChIJUc1lFqoWrjsRxNlDQnIfgWs]
[(13.0222556, 77.64340279999999)],[ChIJ5aZobS8XrjsRSdE0OwQshpY]
[(13.0374439, 77.56575050000004)],[ChIJ8ePSwMMXrjsRGJ0BByJkGNY]
[(13.0244293, 77.60340919999999)],[ChIJEbEZH6YXrjsRAyAi7gHmyfo]
[(13.0314248, 77.63556389999997)],[ChIJWSEKpz4XrjsRg4WFaBnf7Cg]
[(12.9609739, 77.51132640000003)],[ChIJV1EivIE-rjsR-r4IC--by30]
[(12.9784837, 77.67958420000002)],[ChIJfyTo32YRrjsREU8P-eH5MiI]
[(12.9581027, 77.70092679999993)],[ChIJs9Ee4DISrjsRvDHVm1xvzZA]
[(13.0342039, 77.56819989999997)],[ChIJUSkZWucXrjsRQB2tHFBCssc]
[(13.0029217, 77.54958979999992)],[ChIJvR2MUJs9rjsRorknpBsTu-Y]
[(13.0199085, 77.65637489999995)],[ChIJmSo8itQQrjsR4puRU5PxGGw]
[(12.9136131, 77.59516350000001)],[ChIJ_ygvng8VrjsRpeX7HhzD4BU]
[(12.9149782, 77.60571460000006)],[ChIJORiaRQIVrjsRTj0F12WBIX4]
[(12.9892423, 77.50775049999993)],[ChIJ9-_xHEk8rjsRYhDIAEBPtlM]
[(13.0123766, 77.53645970000002)],[ChIJtcMG_go9rjsRxsNtWlgharI]
[(12.9974583, 77.58377280000002)],[ChIJC5DjizgWrjsRFCRTXW1bb1o]
[(12.9924939, 77.73301360000005)],[ChIJ74lal-gRrjsRWOCfwtNvL9U]
[(12.990123, 77.57719299999997)],[ChIJg8Dmlj0WrjsRVCV7sQzPWb0]
[(13.0074386, 77.68331680000006)],[ChIJyTMEOhoRrjsRX9xZluEcNCg]
[(13.0052896, 77.70241540000006)],[ChIJw9KKM6YRrjsRWemogI6IWUo]
[(12.9949167, 77.57152050000002)],[ChIJLzGWBCcWrjsR6hskKrnQqI0]
[(13.0183234, 77.56448590000002)],[ChIJCSC9XtYXrjsRydfrWppa1VQ]
[(12.9329078, 77.63137840000002)],[ChIJGS4hHkMUrjsRWEla3Ye7DlU]
[(12.9140802, 77.60928469999999)],[ChIJC6gyD_0UrjsR_8gXHpEpnTM]
[(12.9731179, 77.61456870000006)],[ChIJzzvL6IMWrjsRxckK4hQP-2Y]
[(12.9766658, 77.64656070000001)],[ChIJI2bbjK4WrjsRZ33G-i2NFIE]
[(13.0258405, 77.67912000000001)],[ChIJ72AFvfT9DDkRNO9796kgTyc]
[(12.9254419, 77.63722459999997)],[ChIJX6SzImIUrjsR9HpSlmKynSI]
[(12.9733111, 77.61673139999994)],[ChIJZQaKeYMWrjsRHpFq07Iwuxs]
[(13.0143238, 77.64834429999996)],[ChIJQyaXBtYWrjsRWNh0o9BuMMk]
[(13.0360676, 77.57503270000007)],[ChIJT5SBIOkXrjsRTvvtyy5UHAA]
[(12.97391, 77.64674639999998)],[ChIJ6UmlqaAWrjsR32G5nVlTFdM]
[(12.9359643, 77.62499579999997)],[ChIJsw9-X0MUrjsR_tf_zYkSC44]
[(12.9737519, 77.61927089999995)],[ChIJjzAr8oMWrjsR0KjXubmeZ6c]
[(12.958947, 77.65939000000003)],[ChIJESfnqvATrjsRX8LMzIynvCA]
[(12.9263943, 77.59518300000002)],[ChIJTWTsFqYVrjsRG9IKIslp4us]
[(12.9173945, 77.62772719999998)],[ChIJn_e7IvEUrjsRIjMNRZkuEc8]
[(12.9306994, 77.62302360000001)],[ChIJw9ylvFsUrjsRjE16KlaOO9A]
[(12.9159765, 77.61978420000003)],[ChIJCXbscvoUrjsRI3hK72XMspw]
[(12.9129629, 77.60615389999998)],[ChIJwcZw7AIVrjsRvYrSzS-XN-Q]
[(12.975517, 77.617483)],[ChIJJRV564QWrjsRDQ_xfNcKRrM]
[(12.9923005, 77.71297749999997)],[ChIJ0Qlr_ZYRrjsRC0MQg8TnOzg]
[(12.99615, 77.61138299999993)],[ChIJ0XfXyvUWrjsRYNTnXcrN3oY]
[(13.0188711, 77.59197510000001)],[ChIJpRqzabEXrjsRCt3OD5aHvGI]
[(12.9929199, 77.70279849999997)],[ChIJSzB3D58RrjsRXOZ-YlXRmwk]
[(12.9288657, 77.58593159999998)],[ChIJ-VqPa6IVrjsRBvFVfTVyGkI]
[(13.0217511, 77.65006930000004)],[ChIJq6jiZSwXrjsRQ0dNqrTdba8]
[(12.9955947, 77.60172769999997)],[ChIJ88dOB1wWrjsR_CPMyNqs0Sw]
[(13.0156488, 77.708981)],[ChIJCdNCDq0RrjsRFJbIYIh3d0w]
[(12.9332265, 77.58378930000003)],[ChIJwTIAT54VrjsRsRRmYAlNYqw]
[(12.9603492, 77.70163249999996)],[ChIJBRJIhTISrjsRc9L0fhGS8rE]
[(12.9133062, 77.59172880000006)],[ChIJj-UPYg4VrjsR59Eui1Lz4_Q]
[(12.9772357, 77.64128400000004)],[ChIJt0q_kKUWrjsRWfNBSpijC2Y]
[(13.0231809, 77.54863320000004)],[ChIJUZ5cbGs9rjsRs8McLJHq_jQ]
[(12.9241142, 77.56627679999997)],[ChIJeTSDEoEVrjsRkum_A9A4cek]
[(12.9687144, 77.64942889999998)],[ChIJ7QahwQEUrjsRHdV8rw3NdF4]
[(12.938747, 77.57819900000004)],[ChIJL07j75MVrjsRgh4wA2oYZN0]
[(13.002922, 77.56109270000002)],[ChIJLzGWBCcWrjsR3PiNMcE3n18]
[(12.9847776, 77.55588290000003)],[ChIJF4ZWgfM9rjsRnRse9zRW9gg]
[(12.935993, 77.57720900000004)],[ChIJsUq6r_IVrjsRWv7F3nr6M8o]
[(12.9327403, 77.58426129999998)],[ChIJ1c6WApgVrjsRY4xJjhkzBs8]
[(13.0302889, 77.57788359999995)],[ChIJ8ePSwMMXrjsRgnEgMdUexek]
[(12.932965, 77.58382069999993)],[ChIJzftI9JcVrjsRGgga6W6gbsg]
[(13.0324154, 77.59919209999998)],[ChIJq6qqqqMXrjsRlQA0coUtrWw]
[(12.9691453, 77.62926849999997)],[ChIJSQPW3Z8WrjsR47V1ZgjceHo]
[(12.912677, 77.63289450000002)],[ChIJTQQ7X44UrjsRVJECHuKYX0I]
[(12.9402134, 77.62531690000003)],[ChIJEVlTl9cVrjsRuD-BgcbD0i0]
[(13.0328491, 77.57611270000007)],[ChIJ____NO8XrjsR6VA25dDXTk0]
[(12.9435061, 77.56196380000006)],[ChIJN33fV_UVrjsR-yY1x-akhbU]
[(12.9969418, 77.56796729999996)],[ChIJSU9T1SUWrjsRRMPc-ABM754]
[(12.9831724, 77.57461439999997)],[ChIJk2LTtBAWrjsRK2oEggsaZ60]
[(12.978, 77.62766699999997)],[ChIJXTu4w7AWrjsRond1picIXZ8]
[(12.9995295, 77.56950619999998)],[ChIJZ4q0iyUWrjsRd-t_EjPEFnc]
[(12.9160656, 77.60552299999995)],[ChIJo4IzMAIVrjsRGwVuk4KsxMc]
[(12.9815211, 77.64048019999996)],[ChIJQQhGxroWrjsRWaCfBpd0yn4]
[(12.9876317, 77.5372592)],[ChIJ-1O3jb89rjsR5OeH6KmO1cM]
[(13.0155199, 77.54362070000002)],[ChIJD20XCnQ9rjsR0kxrCha8FSk]
[(12.9982894, 77.60866910000004)],[ChIJB41mMPYWrjsRP5lpCUtA8L0]
[(13.0002305, 77.55043130000001)],[ChIJnxUVtZo9rjsRYvL8FZlhUME]
[(12.9645441, 77.50507879999998)],[ChIJAQAARCg8rjsRk7VdpmgOZA4]
[(13.0033419, 77.55178049999995)],[ChIJO7YIFZ49rjsRB-iJMqpbYNg]
[(12.9323978, 77.63201979999997)],[ChIJqaban2cUrjsRXMhkmFfLbow]
[(13.0180341, 77.65405609999993)],[ChIJc3zoKdUQrjsRVvc23uGrk_s]
[(13.0216891, 77.63705260000006)],[ChIJH7DTWd8WrjsRxuaFwyn2oD8]
[(12.97515, 77.61456699999997)],[ChIJrbT-r4gWrjsRzxGaPMVb32Y]
[(12.996583, 77.57026700000006)],[ChIJDfpvhyYWrjsR09TAcRZ9REA]
[(12.933162, 77.54289589999996)],[ChIJwdIBpjk-rjsRBt1oQgaICsA]
[(12.9213898, 77.48339280000005)],[ChIJjwL9k9k-rjsRot9vKgzUpW4]
[(13.0047751, 77.65670060000002)],[ChIJzz3twi0RrjsREAdoOFkCwV4]
[(12.9914067, 77.59781420000002)],[ChIJoZxPFV0WrjsR-ZxpC5GsOyA]
[(12.993637, 77.6636575)],[ChIJW6h_3TcRrjsRmicFGJc8lQY]
[(13.0059164, 77.65945349999993)],[ChIJ_922dS4RrjsRYHeYVY-N1co]
[(12.9721885, 77.61924769999996)],[ChIJZcW0zJwWrjsRFL-pOTUXLao]
[(13.00798, 77.57992000000002)],[ChIJ____vzQWrjsRx8rqQazuM6c]
