[(12.993694, 77.56497000000002)],[ChIJq6qqah8WrjsRcZAotBz-fJE]
[(12.960669, 77.64930700000002)],[ChIJLXD3dvATrjsRv-DerbsZ-k4]
[(12.959945, 77.508283)],[ChIJe8AEyYE-rjsRq8qzX1zlqz4]
[(12.971892, 77.64115500000003)],[ChIJ9V9GIKEWrjsRUDNWZ-MkSjo]
[(12.994935, 77.61058679999996)],[ChIJ0XfXyvUWrjsREiz5XTJaGAA]
[(12.9567702, 77.66483540000002)],[ChIJgeJkKfATrjsRg4C1OL4cERQ]
[(12.988618, 77.53828599999997)],[ChIJNQs82sQ9rjsRLBvfR302jAM]
[(12.988559, 77.57796499999995)],[ChIJS7OMFxYWrjsRGGQM9JmyAKo]
[(12.971892, 77.64115500000003)],[ChIJd8_5l6UWrjsRw5Oql9nV0tc]
[(12.967305, 77.64330900000004)],[ChIJkRJX6KkWrjsRrzQa85KScEE]
[(12.9592607, 77.66131819999998)],[ChIJLXD3dvATrjsRogK-QCJpS6g]
[(12.9685441, 77.63774220000005)],[ChIJO6a946MWrjsR4DANBWxmD8Q]
[(12.934126, 77.62717599999996)],[ChIJP5gG0FwUrjsRD8R0-GNxfec]
[(12.9684182, 77.64854319999995)],[ChIJ2____1oUrjsRMkuX5a5CFRo]
[(12.9910869, 77.59202949999997)],[ChIJ____P0IWrjsRY7PwstL0Br4]
[(12.992191, 77.53465899999992)],[ChIJhQMdor49rjsRSsF8Rqki0fo]
[(12.9447059, 77.55939650000005)],[ChIJV1Jeux8-rjsRZP62api0KcY]
[(12.991087, 77.59203000000002)],[ChIJa3e9-EIWrjsRfgtOF8iNDwE]
[(12.9465159, 77.59477760000004)],[ChIJY3_SfLEVrjsRC3IpaheP70M]
[(12.988618, 77.53828599999997)],[ChIJ7UnVJZg9rjsRT_7GJwRNaIk]
[(12.9568188, 77.66483459999995)],[ChIJteuMAvATrjsR-x9q4Z8EvKA]
[(12.9773606, 77.62346550000007)],[ChIJXVnqNZoWrjsRdqJqfcjXrWw]
[(12.9417055, 77.55620620000002)],[ChIJSRv9HSI-rjsRBdglQazl2Fg]
[(12.9901655, 77.57456539999998)],[ChIJj0D_FjwWrjsRyX9O8S7xnY8]
[(12.935307, 77.55853100000002)],[ChIJAYqRDiM-rjsRxIZnXR-gMiI]
[(12.9318955, 77.62304310000002)],[ChIJt4p9p1sUrjsRkTU0f25Fhx0]
[(12.973483, 77.615767)],[ChIJLU6lP4cWrjsRLCWlptsjGoI]
[(12.932465, 77.5562443)],[ChIJ4yrlCSY-rjsRZIHjOk_gRB8]
[(12.983231, 77.60761400000001)],[ChIJPTkddWIWrjsR0fT0tnpHTLs]
[(12.9487988, 77.60040249999997)],[ChIJ86x6FMkVrjsRm_BfMFD2xmo]
