[(13.0192143, 77.55724310000005)],[ChIJqQKFiXw9rjsRx6IHu5R_Sz8]
[(12.972673, 77.51268099999993)],[ChIJ77oYfjI8rjsRp5jRSUeW5MM]
[(12.972567, 77.65087700000004)],[ChIJa2MCmyQXrjsRbFykwPByBd0]
[(12.9243554, 77.57735230000003)],[ChIJjRtVSZwVrjsRwkqSYMmFcyk]
[(12.9872727, 77.61639009999999)],[ChIJ_3mtso0WrjsRND5Ybx1cGDQ]
[(12.9683083, 77.75641919999998)],[ChIJT8n3p_4NrjsRFD4Lw0cAN-g]
[(13.0056306, 77.63619530000005)],[ChIJyalvgdwWrjsR_CQaUWzeoBk]
[(12.933081, 77.579339)],[ChIJoYasU5cVrjsRTheqGxp-Zb4]
[(12.922516, 77.58592599999997)],[ChIJ8w5jEaAVrjsR8fcKrVBbHj0]
[(12.9644405, 77.7121558)],[ChIJham3nyUSrjsR9VJmE6i-1SI]
[(12.948883, 77.52661699999999)],[ChIJD2IEkWU-rjsR-diEHQJmEQI]
[(12.9935968, 77.5559174)],[ChIJR6Vvqo49rjsRyGOebcDBuz8]
[(13.0203241, 77.55718690000003)],[ChIJcdDvlnw9rjsRfV-W0qitsT0]
[(12.924917, 77.60763299999996)],[ChIJNQ8C06oVrjsRTPSG-ttuk30]
[(12.9241207, 77.61861999999996)],[ChIJmwHA8VcUrjsRU-9Sm9kkem4]
[(12.916576, 77.61011600000006)],[ChIJ9995MPEUrjsRSnyVmZ9lsNY]
[(12.9320072, 77.54489220000005)],[ChIJrdRkHjo-rjsRKalprxSN260]
[(12.9985416, 77.55583760000002)],[ChIJVVVVEHX5rjsRo571M9szqPQ]
[(12.921794, 77.586005)],[ChIJQx_FC6AVrjsRSLyEVJd90dI]
[(13.005812, 77.55693199999996)],[ChIJBcAqRYE9rjsRB9Yvl-swI-8]
[(12.9372881, 77.55830900000001)],[ChIJIzLKMiE-rjsRvG9ynT33c8c]
[(12.925767, 77.57361700000001)],[ChIJEatTspwVrjsRI53bli5Z-Bs]
[(13.024594, 77.58973300000002)],[ChIJHyjsQLAXrjsRONG_3ioMFBM]
[(12.911579, 77.48478)],[ChIJgV26qSc_rjsRyOg8tDsCL6g]
[(12.999, 77.57351700000004)],[ChIJT_2btDoWrjsRA9pgflH2ZWs]
[(13.0081369, 77.55466560000002)],[ChIJMSNzSYI9rjsRqJHXECNVMJ0]
[(12.9896975, 77.60920190000002)],[ChIJlaZy-WEWrjsRX33dNK0uW-g]
[(13.0158837, 77.63599969999996)],[ChIJL3o_BCQXrjsRiv4bKtLZOw8]
[(12.9972985, 77.57530040000006)],[ChIJ0-a1GjsWrjsRCkfbhXlwFxE]
[(13.0285291, 77.55895499999997)],[ChIJC9tMdmE9rjsR0zLuCTksKUw]
[(12.9061, 77.6277)],[ChIJ0Rf4gusUrjsR7rJwW3hyVSk]
[(12.9143355, 77.5880108)],[ChIJT1SVXgwVrjsRwWzS4CgVhGk]
[(12.946062, 77.60267999999996)],[ChIJc6eMGcoVrjsRd4ZXhu2ZU1E]
[(12.9943471, 77.58054809999999)],[ChIJ9R4JGDkWrjsRVKpeMsRaQd4]
[(13.009467, 77.61011699999995)],[ChIJhfcBG_8WrjsRe1wE7JSgHkc]
[(12.9259433, 77.5736968)],[ChIJK7P3rZwVrjsRCMn2q8EaRXA]
[(12.997317, 77.65470000000005)],[ChIJvUgGvDQRrjsRB_aO4sgqD0w]
[(12.9863648, 77.58200119999992)],[ChIJq6qqqhUWrjsRi_AQbQMeCl8]
[(12.9980146, 77.55801550000001)],[ChIJ35333Ig9rjsRe1UdLUDC2A8]
[(13.023117, 77.58473300000003)],[ChIJq9NEAMgXrjsRsFZI_Adj7Is]
[(12.9293858, 77.57628309999996)],[ChIJqRh5qpsVrjsRayfBM5oWPDg]
[(12.9902377, 77.55979249999996)],[ChIJAQAA8Io9rjsRcLWTYztRJGw]
[(12.980359, 77.61731800000007)],[ChIJm5oYOIgWrjsRthZnHGvufNg]
[(12.9912753, 77.58128490000001)],[ChIJAQAAUD4WrjsR9vH0w3MeZPU]
[(12.990581, 77.60551199999998)],[ChIJC7oX118WrjsRFdlX2E9qA08]
[(12.9252801, 77.60866399999998)],[ChIJHT9XJlUUrjsRFGZs2f_ZE0o]
[(12.9615472, 77.68782829999998)],[ChIJ8zPloNoTrjsRNWoTA0qCmqg]
[(13.013967, 77.61339999999996)],[ChIJdXE7-AEXrjsRq8nXbIYUONg]
[(12.971909, 77.63294599999995)],[ChIJ6z44raEWrjsRjl3h3tY_9kg]
[(13.012717, 77.61646700000006)],[ChIJH8byd_0WrjsR7hwSE684GZ8]
[(12.943147, 77.56525399999998)],[ChIJl4iILosVrjsRGfCmZ7xT8O4]
[(13.029583, 77.60776699999997)],[ChIJUx0cVqcXrjsRCwmLcULokgc]
[(12.9095004, 77.56398880000006)],[ChIJX3E_Mn0VrjsRw3fNqpsemIg]
[(12.9846155, 77.67531959999997)],[ChIJtXyujUIRrjsRi9doiHHQn3M]
[(12.9268205, 77.57341339999994)],[ChIJxVAqq4QVrjsRlDplVjiIjlc]
[(13.007579, 77.69705099999999)],[ChIJP4dQtgcRrjsRCxdfqU4I-cA]
[(12.998015, 77.55882399999996)],[ChIJiaI5i4g9rjsR4Xe0dXmb26k]
[(12.9976546, 77.57843690000004)],[ChIJ071-LToWrjsRDWeoIdvmRnM]
[(13.0099069, 77.61193649999996)],[ChIJg6kk8_4WrjsRcJS-pll5DQY]
[(13.025067, 77.55756700000006)],[ChIJb_tIn2M9rjsRsE-aL2trUEU]
[(12.9437949, 77.5267758)],[ChIJKzAIzmc-rjsRG0P000KrtNM]
[(13.0104267, 77.62387969999997)],[ChIJr6ODxeMWrjsRs5xXD2vuNPI]
[(13.0092279, 77.69684239999992)],[ChIJYSM1PAcRrjsRy71mYM0Uc2k]
[(12.9320813, 77.56404479999992)],[ChIJ63tod4gVrjsRF81yZGJf8tM]
[(12.923417, 77.54348299999992)],[ChIJK0OAaTQ-rjsRPLYAvslJU8M]
[(13.0006282, 77.61602289999996)],[ChIJgeGf9PAWrjsRch0Rfa4IVqs]
[(13.013733, 77.61336699999993)],[ChIJz3Dc-AEXrjsR1VIblvIZ-7A]
[(12.9936125, 77.67531259999998)],[ChIJr11vCkARrjsRwvxR6xuBMmM]
[(12.9899588, 77.56796120000001)],[ChIJL4jmISIWrjsRo_WRUzcPaQM]
[(12.9874689, 77.60492180000006)],[ChIJT0pfVeQVrjsRRPTaYrDdMds]
[(13.0088444, 77.59424960000001)],[ChIJgexKpU0WrjsRKvRZ61VBbxE]
[(12.9024515, 77.58722749999993)],[ChIJ1WJa-hQVrjsRavMCy2looIU]
[(13.0283359, 77.6635225)],[ChIJ__9DwM8QrjsR1-xZgIgNFYA]
[(12.9647104, 77.67596040000001)],[ChIJu6iGWucTrjsRWuk2dVMFvTg]
[(12.9900642, 77.50283139999999)],[ChIJf9AmbEY8rjsRHOmYN4Ha_vE]
[(13.020723, 77.592444)],[ChIJi-HuHbEXrjsR4ei5zmrSnXo]
[(13.021003, 77.67747899999995)],[ChIJOWGJu-AQrjsRxOirfLcNfzk]
