[(12.903105, 77.58528799999999)],[ChIJdXG2yhQVrjsROCtmae-OiwE]
[(12.9034486, 77.62581410000007)],[ChIJ21s4MuoUrjsR0Efd-V2gSew]
[(12.90364, 77.62996699999997)],[ChIJ426OkvcUrjsR4E-32c1Y0b4]
[(12.9039253, 77.6026948)],[ChIJS42OuR4VrjsRvtuP9PraUys]
[(12.904273, 77.55506400000002)],[ChIJVzfs69s_rjsRqYrCyNMgknM]
[(12.90453, 77.57312720000004)],[ChIJc31z-WUVrjsRYSHrVFj4YzM]
[(12.9049039, 77.56825789999994)],[ChIJ44LFDWQVrjsRFqBFj7SBY8U]
[(12.9050307, 77.60156660000007)],[ChIJ964yURkVrjsRlIc3IuYhoy8]
[(12.905168, 77.57996679999997)],[ChIJMQNEEGwVrjsRfZstr8YYMIA]
[(12.9055262, 77.59128839999994)],[ChIJa6kuVREVrjsRcUbX0uG6WLo]
[(12.9057428, 77.56302600000004)],[ChIJ3dMKZmIVrjsRCzcMVV3B_Y0]
[(12.9061536, 77.59363469999994)],[ChIJi-Zp3xAVrjsROTG6aYtRG2I]
[(12.906264, 77.57454699999994)],[ChIJ9VPMW2oVrjsRnN2vh_3CbN8]
[(12.9068513, 77.60797579999996)],[ChIJ6ZYaC-IUrjsR04Y5qsb99FI]
[(12.9071201, 77.56557299999997)],[ChIJz-7tD2MVrjsRIKWNKfJeKUM]
[(12.9071201, 77.56557299999997)],[ChIJz-7tD2MVrjsRpE2UvkgIxN0]
[(12.9071332, 77.56555430000003)],[ChIJz-7tD2MVrjsRcSQCE_IoIso]
[(12.9071838, 77.56539169999996)],[ChIJkVDNGmMVrjsRDw2xMT5EUYw]
[(12.9071916, 77.63302090000002)],[ChIJlz85nJQUrjsRlORGploOKTY]
[(12.9071916, 77.63302090000002)],[ChIJlz85nJQUrjsRlORGploOKTY]3
[(12.90741, 77.59738700000003)],[ChIJi8iqZxoVrjsRjhR1Xfy5Mvg]
[(12.907416, 77.59736499999997)],[ChIJTbIdXBoVrjsR59ZThEB8Tl4]
[(12.9075135, 77.56771830000002)],[ChIJR5iJnWQVrjsR1JJcrzpWg-A]
[(12.9076188, 77.62649379999993)],[ChIJ7UefbOwUrjsRxvh9iaKRgD0]
[(12.9077517, 77.6319747)],[ChIJsb60Q5MUrjsRHRab4eUE0xU]
[(12.90804, 77.58744899999999)],[ChIJVVVVVSoWrjsRIECtllmnGOc]
[(12.9085145, 77.56620529999998)],[ChIJN--9OWMVrjsRvtnaG6sqpew]
[(12.9086792, 77.71574020000003)],[ChIJZYJ0oOkSrjsRx_iy7GZNahs]
[(12.9087657, 77.59248730000002)],[ChIJlYPBuxEVrjsRcN7zYCzJr9M]
[(12.9090082, 77.52082719999999)],[ChIJSfd_xKg_rjsRfzfjkMwrvtM]
[(12.9091907, 77.62864890000003)],[ChIJ08Fn4-wUrjsRcxPoIU17wWc]
[(12.9093046, 77.60658799999999)],[ChIJ5aGxbR0VrjsRMRy1bOVnf9Y]
[(12.9093896, 77.56483070000002)],[ChIJXXZk1XwVrjsRdUX-HRudXkA]
[(12.9095197, 77.65058669999996)],[ChIJ_7-GTJwUrjsRl-psvi6MZGU]
[(12.9096498, 77.58139370000004)],[ChIJrY-Sp2sVrjsROoTB1gWpfaA]
[(12.9097198, 77.58128369999997)],[ChIJEX6qiG0VrjsRoJlAU3cecIw]
[(12.9097404, 77.5812072)],[ChIJN0Umj20VrjsR4QdwD2XbsDU]
[(12.9098975, 77.60278970000002)],[ChIJOW3SvBwVrjsR3V6-CFepJvI]
[(12.9102354, 77.59874579999996)],[ChIJd59x0BoVrjsRZYfStY7Xz3g]
[(12.9105569, 77.58205350000003)],[ChIJTcJoh3IVrjsRqulqbOM5lMU]
[(12.910635, 77.57954999999993)],[ChIJBc-ojXEVrjsRjJoeyFFtMps]
[(12.9110561, 77.63528289999999)],[ChIJMxyqE5IUrjsREf69ghmTRp8]
[(12.9113095, 77.58522470000003)],[ChIJk1gbSw0VrjsRTLasVPLPZRM]
[(12.9116514, 77.63181459999998)],[ChIJlfSavJIUrjsRIt0HUlGGdNI]
[(12.9121934, 77.65251)],[ChIJNeiuaZ0UrjsRWBluMDKJsVA]
[(12.912204, 77.56769740000004)],[ChIJzY77f3sVrjsRoWvZG3oxsY4]
[(12.9122101, 77.65186059999996)],[ChIJD2mGPp0UrjsRfI_OWXpqXzM]
[(12.912224, 77.59232199999997)],[ChIJg1M7QQ4VrjsRnSaBeo56gTw]
[(12.9122556, 77.510175)],[ChIJk6l9AAQ_rjsR86b3RSaWW0E]
[(12.912383, 77.66868090000003)],[ChIJYzaHRW4TrjsRAZL3g0fbwTs]
[(12.9123968, 77.57720540000003)],[ChIJoT-OpnEVrjsReyFZUEnUskY]
[(12.9124808, 77.55737079999994)],[ChIJ____z5EVrjsR8z__WFW6SRI]
[(12.9129199, 77.58200119999992)],[ChIJq6qqqnMVrjsRqOJVPuhMwnw]
[(12.9130449, 77.62795649999998)],[ChIJM9lxiPIUrjsREP3zyBARUcE]
[(12.9133302, 77.52289339999993)],[ChIJswxfGaw_rjsRdoeTpNuFKRQ]
[(12.913628, 77.61484300000006)],[ChIJubHIRvsUrjsRhPXCiFny7HE]
[(12.9136335, 77.58124889999999)],[ChIJZ36yunMVrjsRmytb9OqIl-k]
[(12.9140785, 77.7237278)],[ChIJKVNgQsMSrjsR8jzdDFy4pVc]
[(12.9142606, 77.62317180000002)],[ChIJVV99pPEUrjsRJA6rcdxqOQA]
[(12.9143434, 77.58518559999993)],[ChIJiW-OEA0VrjsRDew7z6b7Zhk]
[(12.9143693, 77.60239739999997)],[ChIJBWuchgMVrjsRG0tzKoZ1MoA]
[(12.914398, 77.59980359999997)],[ChIJRRE_UAQVrjsR1jFVnf90ra0]
[(12.9143996, 77.72410479999996)],[ChIJcy3H4JISrjsRQl_PP-UxeqA]
[(12.9149014, 77.72393699999998)],[ChIJqVHAwOYSrjsRtu5c55Ws3Vo]
[(12.914969, 77.63225399999999)],[ChIJMcXMGI0UrjsRGrjW0eNL-Ek]
[(12.9149965, 77.59694179999997)],[ChIJsVnJ8gUVrjsReoswhF-PmoY]
[(12.915053, 77.58592799999997)],[ChIJ53B_uwwVrjsRkgSJKXYYKr8]
