[(12.9683279, 77.65387770000007)],[ChIJAQAAsP4TrjsRLJA6IqPyEt8]
[(12.935155, 77.62146499999994)],[ChIJVWZELkUUrjsRYBx0z0hRtlo]
[(12.9736848, 77.64001610000003)],[ChIJp83BQqYWrjsRi8A1cioXhkk]
[(12.9676898, 77.64197109999998)],[ChIJG_4kNx0UrjsRF51LM3M6V04]
[(12.9724436, 77.6564846)],[ChIJwxV8B1URrjsR63zbDI76LdI]
[(13.0002444, 77.54206309999995)],[ChIJ7967v5k9rjsR32Hhtua1EXQ]
[(12.9863938, 77.58679159999997)],[ChIJn6_fHGsWrjsRMmAA18Xe97I]
[(12.9458747, 77.48579180000002)],[ChIJq6qqw7s-rjsRtC69Fm4kKuw]
[(12.99214, 77.61225990000003)],[ChIJv_zBvPQWrjsRwahj9iDag70]
[(12.991239, 77.53562299999999)],[ChIJ8WEq8749rjsRpSRAwbQ1NyQ]
[(12.963544, 77.48695799999996)],[ChIJ7_q2Ob0-rjsR0ni4TD4C3FI]
[(12.9890231, 77.61440029999994)],[ChIJqZhBYYwWrjsR7OrdqEg2qz4]
[(12.969917, 77.63726700000007)],[ChIJr_vOWqcWrjsRBRGkslWvJxI]
[(12.9934633, 77.6137132)],[ChIJ2zULgfQWrjsRc-Hdf2JjsGw]
[(12.9885786, 77.54433700000004)],[ChIJjfFlZZI9rjsRMvvHbER1Nf8]
[(12.9964683, 77.62295610000001)],[ChIJgxN6duwWrjsR3ISpJQXJDZw]
[(12.9958846, 77.60912929999995)],[ChIJA5gE4fUWrjsRDjr8VHXyvMo]
[(12.9367074, 77.58251519999999)],[ChIJ-ah-fkEWrjsRagLPbDEO_nY]
[(12.98649, 77.59557700000005)],[ChIJu-GDj2gWrjsRSSX6tE5veis]
[(12.993557, 77.53961700000002)],[ChIJfRqkWeE9rjsRmuMlwa0sLF8]
[(13.0005766, 77.57373389999998)],[ChIJVdgn2S8WrjsRJkYErFOrETc]
[(12.9575258, 77.64376010000001)],[ChIJEX_PkAUUrjsRZHEQC9-GDOE]
[(12.942524, 77.58534699999996)],[ChIJea9e278VrjsRjtDqrjSnmWU]
[(12.9928796, 77.61224270000002)],[ChIJjfbe8vQWrjsRGhcdyrOk1LQ]
[(12.964433, 77.63868300000001)],[ChIJ28g-ZRwUrjsRHe2OkGee2js]
[(12.968772, 77.645444)],[ChIJj1KJZAIUrjsRUgtzV-sm6fY]
[(12.9426759, 77.49492439999995)],[ChIJIwz5n5U-rjsR_bZmCy6afTE]
[(12.951207, 77.48755699999992)],[ChIJRTaaV6M-rjsRfQ95hcoS0yQ]
[(12.978152, 77.63872200000003)],[ChIJz5z0Y6gWrjsRBRjCFjFRQYE]
[(12.9793004, 77.64344929999993)],[ChIJo2lIjK8WrjsRmR081TacsvM]
[(12.9988533, 77.56265839999992)],[ChIJ____7ycWrjsRumW_aQgGruE]
[(12.981448, 77.64201500000001)],[ChIJVVVV0ZA9rjsRdT9AC1ruFaE]
[(12.9399708, 77.54843589999996)],[ChIJI5YZGz0-rjsRdfLtReM0erA]
[(12.9930421, 77.54474540000001)],[ChIJZ-jFvLg9rjsR7XwrsYumWsM]
[(12.979519, 77.64699999999993)],[ChIJ_VEgba4WrjsRA0g5s1cS7-Q]
[(12.9985443, 77.54559700000004)],[ChIJTRRqCJo9rjsRTWPi5NgRGts]
[(12.968718, 77.65030100000001)],[ChIJk32nzgEUrjsRbKDpQDIJ3KM]
[(12.942826, 77.49341099999992)],[ChIJmXnnhpU-rjsRb6L9Vatisbs]
[(12.97274, 77.63891369999999)],[ChIJVW6W5agWrjsRR8QgWmesiSg]
[(12.9809016, 77.64193399999999)],[ChIJP11uJ6gWrjsRlgPzIzBEEnk]
[(12.9389742, 77.58423749999997)],[ChIJvTLPIZgVrjsRXsXBT5I4Tn8]
[(12.9947264, 77.6580179)],[ChIJp7-ZxzURrjsR-Nq-i-l8UUQ]
[(12.976712, 77.50541199999998)],[ChIJe6hywDA8rjsRtaC552qC5Po]
[(12.9930521, 77.61475229999996)],[ChIJGeJTZfMWrjsRv_tGfEGosQ0]
[(12.9965455, 77.58242050000001)],[ChIJPZW45jgWrjsRO4OhCJ3f9QU]
[(12.9950047, 77.61050380000006)],[ChIJt4YGy_UWrjsRcR57z3782v8]
[(12.9740085, 77.62602029999994)],[ChIJR8v9s54WrjsRhHjph0Wiy_g]
[(12.9840906, 77.61497059999999)],[ChIJeUg6pY4WrjsRlOmbg0N3l_k]
[(12.975651, 77.50523999999996)],[ChIJm_d67zM8rjsRxVU40R4MAZk]
[(12.943765, 77.573668)],[ChIJu6j2OMUUrjsRC9x-ynkhEXI]
[(12.9895024, 77.61553660000004)],[ChIJHekiWYwWrjsRuOanFyPXOM4]
[(12.9365944, 77.49307390000001)],[ChIJVWAc1ME-rjsRmGcSjz7w4F4]
[(12.986765, 77.54148199999997)],[ChIJAQAAwLc9rjsRW_HRmFO5Sds]
[(12.9680267, 77.64194999999995)],[ChIJr9ugzqcWrjsRmaqzSIuAHOY]
[(12.9687387, 77.64742810000007)],[ChIJ72JC26kWrjsRehdEk8ZZBFQ]
[(12.9683942, 77.62893929999996)],[ChIJPwUqcSAUrjsRFQMDHrt7nZE]
[(12.958954, 77.64979199999993)],[ChIJLXD3dvATrjsRQINqWmIYihQ]
[(12.967826, 77.65358700000002)],[ChIJh03W5mERrjsRAwy4l01M69U]
[(12.946982, 77.567049)],[ChIJdWa1cfQVrjsRjYfcb5HW1ho]
