[(12.967833, 77.57719999999995)],[ChIJjQvauQkWrjsRO5LQGG8z8n4]
[(12.967518, 77.60709999999995)],[ChIJS7NdV9UVrjsRxLd_WKvsvZc]
[(12.9789554, 77.57483760000002)],[ChIJVVVVhVkYrjsRHDMndB1rzSM]
[(12.968438, 77.58038499999998)],[ChIJLVJY0AsWrjsR0ZCBxabwcTI]
[(12.9719702, 77.58062789999997)],[ChIJu2sDwwsWrjsR5VaOQz1IL7w]
[(12.9699953, 77.57967699999995)],[ChIJV5p_0AsWrjsRcwfMmu3_xm0]
[(12.9739414, 77.60773689999996)],[ChIJd639-H0WrjsRtBhjMr9PDhM]
[(12.972183, 77.58095000000003)],[ChIJpeP9iQsWrjsRmHHDQ7ZIBc4]
[(12.959845, 77.53216299999997)],[ChIJbSYLlnY-rjsRMSApq2id4Po]
[(12.958983, 77.524767)],[ChIJqy9rnXk-rjsRxtbpIIqlkj4]
[(12.956998, 77.56569300000001)],[ChIJEzyq5PkVrjsRLIlwmIDhl6A]
[(12.9717694, 77.58055680000007)],[ChIJqxBS8wsWrjsRLKc1PNuEaEk]
[(12.967983, 77.54521699999998)],[ChIJ4c3Y0-M9rjsR059AT2yFObk]
[(12.9725, 77.58113300000002)],[ChIJnesldwwWrjsRHYmhakSNng0]
[(12.9526315, 77.56449270000007)],[ChIJE6gFipgWrjsR_OKyoujWdXU]
[(12.970306, 77.58004400000004)],[ChIJ4VB6wgsWrjsRxJsGQ3sSS-o]
[(12.9537602, 77.56741469999997)],[ChIJXzEjTfcVrjsRYTSoVFrueZg]
[(12.971267, 77.57404999999994)],[ChIJVVVVKQ8WrjsRAijW_hD-eIc]
[(12.970983, 77.58018300000003)],[ChIJHb1m6QsWrjsRi0TDwKA2F3Y]
[(12.968702, 77.57901420000007)],[ChIJu2sDwwsWrjsRH94h3UQK3Us]
[(12.974483, 77.53076699999997)],[ChIJUUGdJts9rjsRsfdEuxeBNw8]
[(12.961167, 77.54661699999997)],[ChIJ7Qx1EQk-rjsRt8lcTaQ3I-4]
[(12.956815, 77.51861800000006)],[ChIJMRToy30-rjsRD_aTwvSNT3E]
[(12.9719702, 77.58062789999997)],[ChIJu2sDwwsWrjsRK-s9P3I7u7I]
[(12.960867, 77.54938300000003)],[ChIJ7wTelQg-rjsRqahGE2OLW8M]
[(12.972183, 77.58095000000003)],[ChIJpeP9iQsWrjsR5pntPtMHmr4]
[(12.9756929, 77.57850150000002)],[ChIJT1o3cA4WrjsRVgpvI2QYnQA]
[(12.965855, 77.57825700000001)],[ChIJz4qrD-IVrjsRinAQ_vRLhWE]
[(12.9595665, 77.56180310000002)],[ChIJD-8ZBwI-rjsRsrIedKECCmc]
[(12.969128, 77.58038499999998)],[ChIJL8JuiywXrjsRtL9-YPCKC2Y]
[(12.965, 77.52326700000003)],[ChIJGXzUP9Y9rjsRrWNmayFHfqI]
[(12.968169, 77.57026429999996)],[ChIJZQakCAcWrjsR2txjZhb-ZVw]
