[(13.0745126, 77.50411689999999)],[ChIJ36fIST0jrjsRyZSibiZqW1Y]
[(13.0784071, 77.57863099999997)],[ChIJoXZ5XBMYrjsRW4LuEOb-Vwo]
[(13.0927546, 77.59393210000007)],[ChIJm63y3VoYrjsRmXO-KsvgikQ]
[(13.102207, 77.59965799999998)],[ChIJA-4NMVYYrjsRFmauS89iCLc]
[(13.101373, 77.59803599999998)],[ChIJ24i_vlcYrjsREltODgGDBgU]
[(13.100391, 77.59978999999998)],[ChIJ_xbHV1YYrjsRhlXUZ0QVPUc]
[(13.0480405, 77.53476820000003)],[ChIJg9cIljY9rjsRoUZMo8DNKpA]
[(13.0548622, 77.60334089999992)],[ChIJWzspIoEXrjsR6zOqrX_WPA4]
[(13.0654193, 77.61465850000002)],[ChIJYyFqQdEZrjsRii-oy5nYSj4]
[(13.073561, 77.55698699999994)],[ChIJleZGRaEirjsR6COQKQCx3yI]
[(13.102942, 77.59748300000001)],[ChIJ58Tq4VcYrjsRYw-tn-uyAvs]
[(13.087944, 77.54389400000002)],[ChIJ8dgZF5IirjsRzg0UPCg3vG4]
[(13.108696, 77.57591200000002)],[ChIJBwAAJI8YrjsRmAEuV9LLJIk]
[(13.0850196, 77.48329999999999)],[ChIJHxl0wW8jrjsR4OddwJdMuoM]
[(13.1994086, 77.70827480000003)],[ChIJN22YhgIdrjsRxVOnha6ieHw]
[(13.1985175, 77.70997409999995)],[ChIJye-aWv0crjsRXVaCmp1c_3E]
[(13.152529, 77.33790999999997)],[ChIJA8NHq94orjsR5_CCUci_HlI]
[(13.1286221, 77.58811000000003)],[ChIJMQ2cBMEYrjsRxMyT03xGYc8]
[(13.076681, 77.80738399999996)],[ChIJHw5XY44FrjsRfMeYkxIzppI]
[(13.076126, 77.43447800000001)],[ChIJAY5QOOYkrjsRMrr6tzFFyuI]
[(13.000206, 77.52522220000003)],[ChIJ2Wcqr689rjsRI7XGWqtryEs]
[(13.0275126, 77.56144169999993)],[ChIJeRGjA2I9rjsRcrQOcbtt7gE]
[(13.1981905, 77.70975850000002)],[ChIJy-h6Q_0crjsRKbNp6BPALJs]
[(13.028878, 77.57900999999993)],[ChIJz6Wp_8MXrjsR2rIrJxlM0hM]
[(13.0371507, 77.55333310000003)],[ChIJoSxi9Vw9rjsRNLGDMXt9Ol0]
[(12.9875495, 77.60205380000002)],[ChIJi1otK2cWrjsRIrGPbLOyyzo]
[(13.0002295, 77.52517120000005)],[ChIJuX4yqa89rjsROrBJq80qkhc]
[(13.0069686, 77.63612149999994)],[ChIJqROmdtwWrjsRT66RcLPuqh0]
[(13.1228231, 77.57921579999993)],[ChIJnSlg2JUYrjsRZa32EejAkuo]
[(12.9847361, 77.60176079999997)],[ChIJ6_LDq2YWrjsR_qxG5jZY9H0]
[(13.011765, 77.52197799999999)],[ChIJqXp31QY9rjsRe6zfzKS6N5w]
