[(12.9422496, 77.55021399999998)],[ChIJAclJVD0-rjsRfCj3VVbGDl4]
[(12.932147, 77.53460270000005)],[ChIJZ_EjakY-rjsRTygE-eWHUGw]
[(12.9836482, 77.60738830000003)],[ChIJ2csPDGIWrjsRyBkAwbhbl-A]
[(12.9317896, 77.63207669999997)],[ChIJyQA7c2cUrjsRnxg5pOjyHpY]
[(12.9197242, 77.59528350000005)],[ChIJ2fksZAgVrjsRbBew5jyBJ2c]
[(12.9306446, 77.57860959999994)],[ChIJS6X2JJoVrjsRvA04MresiAg]
[(12.9401666, 77.55041019999999)],[ChIJk0rfLD0-rjsROAb9AzfC7No]
[(12.8922475, 77.58169670000007)],[ChIJf9p22kYVrjsRPtSFXOHrsHE]
[(12.892019, 77.57963399999994)],[ChIJr-x6pEYVrjsRZPzK5QL-nRk]
[(12.8920515, 77.63845259999994)],[ChIJfd2SRLoUrjsR-4i-x0mxTAU]
[(12.8922822, 77.58167900000001)],[ChIJa46E2UYVrjsReq5a_QKmrBY]
[(12.8965755, 77.65085380000005)],[ChIJxc8R1aAUrjsRr_z7U3cAwgc]
[(12.8755889, 77.59532910000007)],[ChIJmwMvW81qrjsRde_ZQk6uCzc]
[(12.866947, 77.57203200000004)],[ChIJybAbyq9qrjsRVOF3kVi9X38]
[(12.909433, 77.54971699999999)],[ChIJTR54788_rjsRjJcZcniNgVE]
[(12.9058098, 77.64417550000007)],[ChIJK6fkvJkUrjsRzIiC1F0Mp3w]
[(12.9060621, 77.62893050000002)],[ChIJeZoLZusUrjsRMYNGYqNqtv4]
[(12.9163132, 77.59420390000002)],[ChIJo22sMg8VrjsRvmTFvKPHG6Q]
[(12.902324, 77.51587100000006)],[ChIJrT_W4wk_rjsRrWKhsVqueO0]
[(12.917303, 77.54689039999994)],[ChIJm1Om8Mw_rjsR_D6of0hRL8k]
[(12.8974657, 77.6510614)],[ChIJC1NF2aAUrjsRtBR7_gG5Wj8]
[(12.9916609, 77.55622149999999)],[ChIJ0aY7iIs9rjsR146q0DLyBuI]
[(12.9899939, 77.55882220000001)],[ChIJqT9dHIs9rjsRgm3nSn5Es3g]
[(12.9947651, 77.57118249999996)],[ChIJN5bAhCQWrjsRTkkvq3t08AY]
[(13.0065599, 77.57135010000002)],[ChIJieuIzy0WrjsRrzhnq4poRzI]
[(13.0056585, 77.63837519999993)],[ChIJ-1PRDtsWrjsRlJG8T3YbAnM]
[(12.988385, 77.47290399999997)],[ChIJvV4Jy3U8rjsRAnnN7GCCktA]
[(13.020763, 77.64135710000005)],[ChIJx5-aBiUXrjsRTHRmcrFtYYQ]
[(12.9882848, 77.60626990000003)],[ChIJwQroR2AWrjsRjhllVJPnw4Q]
[(13.0035702, 77.61681429999999)],[ChIJOU-0jPoWrjsR5BYL37KQyQI]
[(13.0282949, 77.56142799999998)],[ChIJlU0H-2E9rjsRoRBX2HW9l9g]
[(13.041153, 77.567542)],[ChIJgbKIieMXrjsRc_fvJiXLrNE]
[(13.0436488, 77.52044590000003)],[ChIJOyqavSg9rjsRyCs314TH8DU]
[(13.0352745, 77.52871170000003)],[ChIJNwuM3Dw9rjsRe28_UAWbeRw]
[(13.041593, 77.56759299999999)],[ChIJSShgd-QXrjsReffZyyUdWjA]
[(13.035499, 77.58988)],[ChIJKwAA8JUXrjsRcrjD0VJq5TQ]
[(13.0493755, 77.51177819999998)],[ChIJ____P9Q8rjsRMWD2h2JIC7w]
[(13.051932, 77.52880299999993)],[ChIJbQ14izI9rjsR2VmRZdAon2A]
[(13.047741, 77.51416199999994)],[ChIJ6bbNdtY8rjsR_0EdaT176j0]
[(13.049621, 77.494146)],[ChIJv_ntY8o8rjsRpT7ZOlG5874]
[(13.0634817, 77.58298530000002)],[ChIJeaqSxRgYrjsRDc11WuaBkf0]
[(13.0690694, 77.5578117)],[ChIJ4_RSQqYirjsRHMYYy_zjJNE]
[(13.0619574, 77.64845430000003)],[ChIJCbYxcv4ZrjsRAas12xsJ6hw]
[(13.0648997, 77.58991609999998)],[ChIJxykajiMYrjsRNCCCQTG0R1w]
[(13.038759, 77.70071899999994)],[ChIJEVfF6l8QrjsRaoe4veQUcrQ]
[(13.1062876, 77.57611240000006)],[ChIJUSnM34gYrjsRAynXGs3Wb8A]
[(13.170686, 77.63281699999993)],[ChIJNYCGur8erjsRcrBuXcg3hsY]
[(13.0116, 77.678767)],[ChIJ2d4UJR8RrjsRDx5-kp0WdTM]
[(13.007442, 77.65546599999993)],[ChIJ_f9vMacWrjsRAmWPX7xdjwM]
[(12.6942993, 77.8206146)],[ChIJIymE7BF6rjsRbeHlaLZpbGw]
