[(13.06261, 77.58688600000005)],[ChIJofXPiCEYrjsRxU5hXLCyBfc]
[(13.05535, 77.53456699999992)],[ChIJFQpnSMsirjsRUUweoVD-u-g]
[(12.905, 77.54313000000002)],[ChIJa3Cd88Y_rjsRIx-FhRXs0C4]
[(13.044383, 77.55276700000002)],[ChIJP8dneFA9rjsRG8-KIciYb2E]
[(13.089617, 77.55598299999997)],[ChIJa9rCVJsirjsRmo1Y25niVVk]
[(13.040133, 77.590283)],[ChIJeVZXAZQXrjsRGQ9nd-TfHXY]
[(12.9061915, 77.5579669)],[ChIJ8x63oNk_rjsRQ5RCxu5wXgc]
[(13.0482453, 77.51275329999999)],[ChIJpTRjKtQ8rjsRReqJIZp3-Tg]
[(13.058211, 77.586951)],[ChIJUyOFOtcWrjsRslxRucetipQ]
[(13.0405491, 77.57737650000001)],[ChIJe3kCxu4XrjsRL818TZE6JlY]
[(13.072183, 77.63351699999998)],[ChIJ4bsQYOgZrjsRSfD3PGWSVYw]
[(13.058728, 77.63287500000001)],[ChIJ39Glml8XrjsRFeuGKQ6dGPM]
[(13.102647, 77.56630799999994)],[ChIJVQfAlYAYrjsRgOqQRHNM_m0]
[(13.1339513, 77.477621)],[ChIJeQnLtPsjrjsRPOWVNVZcnRI]
[(12.883531, 77.57071199999996)],[ChIJWcBfqFEVrjsRiuFoNUOGGGQ]
[(12.890012, 77.57151899999997)],[ChIJXZNKHFsVrjsR2dyxOJRNtSY]
[(12.8950851, 77.6352306)],[ChIJAyPtSLkUrjsRZNTNn7fIFh4]
[(13.069581, 77.60159440000007)],[ChIJs0Ns_DEYrjsRS89nfi6oo6E]
[(12.907805, 77.51966300000004)],[ChIJm6qqmqg_rjsRM8oVOJmf37M]
[(12.8906, 77.57161300000007)],[ChIJW0qzEFsVrjsRP7uX5HbzlhI]
[(12.9034554, 77.62734189999992)],[ChIJHW_XU-oUrjsRD7ndBiw4Elg]
[(12.9074478, 77.62828009999998)],[ChIJTzZAj-wUrjsRf7CTgs3UEag]
[(12.9055536, 77.62755549999997)],[ChIJww2hnusUrjsRVahi9eAj7Tc]
[(12.905587, 77.62274100000002)],[ChIJQxU-JekUrjsRio2I6lD_Pc8]
[(12.9296828, 77.59261600000002)],[ChIJwZbNWqQVrjsRNYcJBv8Y8xs]
[(13.0021759, 77.52464420000001)],[ChIJvdB63649rjsRtYXgoswMDQM]
[(12.905365, 77.60925199999997)],[ChIJ4VKujOEUrjsRFnRzPXDZ8_c]
[(12.898622, 77.57089700000006)],[ChIJw___g2cVrjsRg3Hr7crznoA]
[(12.883396, 77.54859399999998)],[ChIJ8e1nWfA_rjsRX3CkooxY5FM]
[(12.9180059, 77.60495449999996)],[ChIJ-6YjngEVrjsR4m5akpwDe5I]
[(13.002293, 77.53375400000004)],[ChIJBUTpjKM9rjsRKGlfSgsoWwU]
[(12.900165, 77.60190999999998)],[ChIJA_qOrBgVrjsRqWNH6iIOUN0]
[(12.968711, 77.75633800000003)],[ChIJVR8uUvsNrjsR9mHUOvTg4-k]
[(12.9141254, 77.61793929999999)],[ChIJmxDjjPoUrjsRX2AZXRoJUe4]
[(12.913561, 77.56145400000003)],[ChIJEb8aGdY_rjsRqliswNUJcEs]
[(12.898622, 77.57089700000006)],[ChIJw___g2cVrjsRmVRVAXRBQDU]
[(12.904411, 77.58469400000001)],[ChIJr1oeVWsVrjsR31NxOzSYetw]
[(12.913964, 77.58667300000002)],[ChIJDejB6AwVrjsR-U0XKFuN3e4]
[(12.8719777, 77.65497299999993)],[ChIJaUbdx6lsrjsRJjssjsSP5Jo]
[(12.9017142, 77.62738289999993)],[ChIJM0TIZOoUrjsRNDgXNpBZHfI]
[(12.996194, 77.76148)],[ChIJGQAAbRYOrjsR5jM4wE-c478]
