[(13.143563, 77.62730299999998)],[ChIJIXpVhDYZrjsRtE3ATScukgo]
[(13.033224, 77.52663510000002)],[ChIJAcR0xyI9rjsRMECtezfL94U]
[(13.094454, 77.58601199999998)],[ChIJiz1smV0YrjsRyyP22Hv2zb0]
[(13.0392307, 77.55731309999999)],[ChIJR11WSVk9rjsR_xpl6yNcdpk]
[(13.097763, 77.599331)],[ChIJxZTP1VYYrjsRTgZMBv27Ikw]
[(13.0246351, 77.55740630000003)],[ChIJJ2e8dWM9rjsRowXGQh8sXXY]
[(13.0274946, 77.60382099999993)],[ChIJBeTT86YXrjsR6wQkCvvQXm8]
[(13.0139684, 77.49030619999996)],[ChIJWafdiYw8rjsRZu1gwx7GjLw]
[(13.0136627, 77.52273809999997)],[ChIJhVuuuwY9rjsR49pJ1CjNvJc]
[(13.012103, 77.52167899999995)],[ChIJqwOQLAE9rjsR7h4brePEzVw]
[(13.017, 77.58961699999998)],[ChIJ9_LpELQXrjsRRXAgAnZJCfo]
[(13.019333, 77.59943299999998)],[ChIJI_Njia4XrjsRkUl_q4ayG3s]
[(13.008133, 77.56382000000008)],[ChIJyRSTjSUWrjsRo4og1sysGFo]
[(13.0086307, 77.54367109999998)],[ChIJ0ypgE549rjsRnarm_9i762A]
[(13.008926, 77.526072)],[ChIJx50tIKg9rjsRVBtJC7tPFmc]
[(12.9300616, 77.54715529999999)],[ChIJ_S_qjjA-rjsR0Sbl577vojE]
[(12.9570099, 77.70106320000002)],[ChIJ-cjqFTMSrjsRM8Rg1zZNhu4]
[(13.0019339, 77.57199530000003)],[ChIJcfZV2ygWrjsRjLQuKRl9Fr8]
[(12.97325, 77.67816700000003)],[ChIJOWYjQ2ARrjsRRAoP0NEPnUw]
[(13.0066558, 77.56457580000006)],[ChIJVVVVVSoWrjsRN5xnjhc4lbo]
[(13.0003834, 77.5067606)],[ChIJVVVV5VA8rjsR8d6J1Egp-dA]
[(12.9511982, 77.69976629999996)],[ChIJAQAAAMsTrjsROMMvlInqcEU]
[(12.955767, 77.71555000000001)],[ChIJi0U2WTkSrjsRmtUFg89zm04]
[(12.9565316, 77.71526010000002)],[ChIJp_sK5zsSrjsRrvATQWK3NIQ]
[(12.999667, 77.57811700000002)],[ChIJJysSDjoWrjsR7r8RLT8T81g]
[(13.0048416, 77.52150929999993)],[ChIJtauP3qs9rjsRGe0-LKbA8t4]
[(13.0062902, 77.53744210000002)],[ChIJR1Oxt6E9rjsR0YVRxfiDBB0]
[(13.0012912, 77.56065179999996)],[ChIJW89lloc9rjsRQXGAGpzOBSc]
[(13.005719, 77.521612)],[ChIJkbcujKg9rjsRkVU5Ik57TtE]
[(13.0017969, 77.53211179999994)],[ChIJiZEfaaQ9rjsRAE2eLkFe5cs]
[(13.003433, 77.60286700000006)],[ChIJectfOlcWrjsR4TfcyKy5j1g]
[(12.9974377, 77.5276523)],[ChIJ3UeUqbo9rjsRbBV1u-cHyRs]
