[(12.95745, 77.58251700000005)],[ChIJW_wrrucVrjsRaso_eAhuFPM]
[(12.9572388, 77.56771370000001)],[ChIJq758KvoVrjsR8cymo5jjisA]
[(12.9789554, 77.57483760000002)],[ChIJ____PzcSrjsRYyoAlvUTFgk]
[(12.963738, 77.59237699999994)],[ChIJq-l1GdkVrjsR0hq3LFkbCTk]
[(12.9691825, 77.57784749999996)],[ChIJrcHAnwkWrjsRDNEqZpmOLDM]
[(12.9719029, 77.57035470000005)],[ChIJ6wZ6_gYWrjsRBMOUx5j-Ddg]
[(12.982813, 77.60912800000006)],[ChIJo7wzw4kWrjsRL7BBW45MzXg]
[(12.959333, 77.58823299999995)],[ChIJF936TtwVrjsRTqS8exEb6NI]
[(12.968633, 77.57413300000007)],[ChIJJX2yZAgWrjsRexXy-utD1a4]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRIv3H6SjAUxI]
[(12.961867, 77.59198300000003)],[ChIJX4SSXdkVrjsRln_qmUjQUxs]
[(12.97175, 77.52691700000003)],[ChIJ-4RHhdA9rjsRVXfbsqEZ5DA]
[(12.961454, 77.52042200000005)],[ChIJfStIBno-rjsRCwHHW6xMbyA]
[(12.967549, 77.57439799999997)],[ChIJ8TlAEwgWrjsRrrstcgzCc_Y]
[(12.95205, 77.52351699999997)],[ChIJnw9CyWQ-rjsRetUyT4RhRJo]
[(12.982165, 77.56769299999996)],[ChIJo7IG-BsWrjsRw4stkTXsnkk]
[(12.979217, 77.53421700000001)],[ChIJOW3ykMM9rjsRMk1cEKQ75Mc]
[(12.9571454, 77.57036760000005)],[ChIJC65fVvoVrjsRscZeGVLWPLQ]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRg9unE-hXWiU]
[(12.982416, 77.55992500000002)],[ChIJ13hBmJA9rjsRMDVh3iPIAcU]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRANQvXQ_tSAA]
[(12.9706, 77.57843300000002)],[ChIJOwXjZwkWrjsRgeq5XY4wjT8]
[(12.968867, 77.545617)],[ChIJ5xsEw-M9rjsRa4ZnMH121rA]
[(12.9662073, 77.57650409999997)],[ChIJHa3ZKwgWrjsRX0bvk55fxQQ]
[(12.980467, 77.55393300000003)],[ChIJUznFDfE9rjsRCYb1LJ_S6v8]
[(12.9737905, 77.56104819999996)],[ChIJGdbWiPg9rjsRwBSDsr9flfA]
[(12.98075, 77.55836699999998)],[ChIJj0N28vY9rjsRGhP4yj9MbmM]
[(12.952587, 77.53936899999997)],[ChIJcwF_zxI-rjsR8ghYfJV_U1o]
[(12.971167, 77.58043299999997)],[ChIJu2sDwwsWrjsRylV6Mh_8usM]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRVdfP0Cf714Q]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRsifrXScnu3I]
[(12.9509448, 77.57144670000002)],[ChIJgcYSu_EVrjsRgsAMj_UjAwk]
[(12.973873, 77.52712250000002)],[ChIJn1u6DNA9rjsRLSXhhcMIWPI]
[(12.980533, 77.54700000000003)],[ChIJE8R9PncWrjsRs27xFomR6ss]
[(12.9582918, 77.58638470000005)],[ChIJaaWjpN0VrjsRfsVscFnKfrM]
[(12.9673, 77.586183)],[ChIJs76mXXUWrjsRjfIrIFMLwlE]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRg-1aLH0yQU0]
[(12.9628445, 77.54832820000001)],[ChIJAQAArM4VrjsRPcqLc0_Je4M]
[(12.9712135, 77.56123279999997)],[ChIJDYHeUv89rjsRHCqisfq670w]
[(12.9662073, 77.57650409999997)],[ChIJHa3ZKwgWrjsRNyz0FJT68TQ]
[(12.968283, 77.582133)],[ChIJDS7G9QoWrjsRhscZMfOaxco]
[(12.972609, 77.57013899999993)],[ChIJ3S6j9AYWrjsRZCyLFWTfCWE]
[(12.968567, 77.57436699999994)],[ChIJkddFZAgWrjsR1hv6zrXVI_4]
[(12.967941, 77.56247899999994)],[ChIJGYkfUP89rjsRMV6HVD8Oe4Y]
[(12.957138, 77.56969930000002)],[ChIJJS0ITvoVrjsRVMNFQHtX0UY]
[(12.964451, 77.57280100000003)],[ChIJVVVVlQcWrjsRWptQ3Gh7Dvk]
[(12.9707912, 77.57828900000004)],[ChIJn9vkQgkWrjsRb0noptNoRIk]
[(12.967317, 77.54186700000002)],[ChIJ854rVeA9rjsReKRM9IcI5MY]
[(12.968567, 77.57303300000001)],[ChIJVVVVlQcWrjsRcIXH_EeJhVQ]
[(12.9701746, 77.57978909999997)],[ChIJK5Pf2gsWrjsRFEy0o3Kw-_E]
[(12.9722, 77.57888300000002)],[ChIJjY0Tqw4WrjsRGgxthQrjkiI]
[(12.96336, 77.58373000000006)],[ChIJEQs6jOAVrjsRC4iPVpM-0MU]
[(12.9680563, 77.57826260000002)],[ChIJE8R9PncWrjsR6ZAUWONnmTc]
[(12.970583, 77.58238299999994)],[ChIJ____JAsWrjsRp5uqTIOi1lE]
[(12.968992, 77.57368999999994)],[ChIJcVdih-IVrjsRZw7sVjQYE5M]
[(12.957733, 77.55921699999999)],[ChIJleZ8TQI-rjsRcPqPHOIu6js]
[(12.9700365, 77.58397109999999)],[ChIJHwVScgsWrjsRJRBe_Eepink]
[(12.9710172, 77.57523630000003)],[ChIJB54txAgWrjsRYASxjcHO-AY]
[(12.966781, 77.57517600000006)],[ChIJo4MV0g4WrjsRdZFIvq9J0pw]
[(12.972017, 77.57451700000001)],[ChIJDe56Sw8WrjsR9dKElScQHiY]
[(12.967705, 77.57437700000003)],[ChIJWxnBbAgWrjsRjIs08pML9dE]
[(12.9683, 77.575783)],[ChIJlxRGTggWrjsRZfUDUvKO40U]
[(12.9657322, 77.5806652)],[ChIJSTnAwuEVrjsRi517s8VDcFY]
[(12.969467, 77.58356700000002)],[ChIJOamI3woWrjsRq3jRMN6A5MM]
[(12.969123, 77.58381800000006)],[ChIJ2bCUS3UWrjsRFUOnOfUWBDk]
