[(12.944009, 77.62232999999992)],[ChIJGcYECUcUrjsRGLWtmT40X-s]
[(12.9814722, 77.61921389999998)],[ChIJV42u2I8WrjsRFoF_Cr9sNGY]
[(12.9950012, 77.53726529999994)],[ChIJ_bKEo709rjsR8QZPaSLtIkU]
[(12.9904942, 77.57386710000003)],[ChIJsR83MT0WrjsRA3G0VCpSUgU]
[(12.99964, 77.56828999999993)],[ChIJe7S1-SUWrjsRdZtllnFAykg]
[(12.9727602, 77.66159949999997)],[ChIJU0nyUFYRrjsR7SmD-smN77A]
[(12.996869, 77.57813220000003)],[ChIJlTg_zzsWrjsR7f65EWzEJI8]
[(12.936714, 77.61867719999998)],[ChIJvUQEhU8UrjsRcv5jgXgGkbQ]
[(12.9457374, 77.55459940000003)],[ChIJcwQeHxk-rjsRov3vgDa36Kk]
[(12.945957, 77.56707800000004)],[ChIJyY2wh_QVrjsRPf0TeZ2OC0A]
[(12.935307, 77.55853100000002)],[ChIJS2yt5SY-rjsRK_xskqMC1NQ]
[(12.949103, 77.54217799999992)],[ChIJe7hbnxM-rjsRxfsZTjVfWl8]
[(12.9961711, 77.56442900000002)],[ChIJM5umBCcWrjsRLvqA1EEHF_I]
[(12.948193, 77.59718699999996)],[ChIJN75eq8gVrjsRxfldt4MF1qA]
[(12.9349246, 77.54416190000006)],[ChIJXVlNZjk-rjsRsfVBiaXXxaU]
[(12.946571, 77.59827599999994)],[ChIJM9otRMgVrjsRyfREB_UAm4Y]
[(12.9983733, 77.5409148)],[ChIJ411uiZc9rjsRi_QZrypumLo]
[(12.9410674, 77.5410948)],[ChIJzQCUxT8-rjsRXPPT31ov7lA]
[(12.976539, 77.62691399999994)],[ChIJTcouDpkWrjsRs_L58r9MqOc]
[(12.9981992, 77.50187019999998)],[ChIJqz5N4Fo8rjsRevL0n9SNdrk]
