[(13.0111647, 77.69589459999997)],[ChIJFxDD0QYRrjsRqKhrThN8hNE]
[(12.9377407, 77.56457219999993)],[ChIJRYK7K4oVrjsR6adV9iYJk6Y]
[(13.0115355, 77.67571959999998)],[ChIJ3dyf7yERrjsRnaAFGu8kfpc]
[(12.9227862, 77.64987050000002)],[ChIJFSBe7oAUrjsR04ze60x0PRM]
[(12.9830186, 77.56105750000006)],[ChIJszT45PU9rjsRLYt_IqeeKkU]
[(12.9830369, 77.56097920000002)],[ChIJZ35G5PU9rjsR2ImaUsXupZM]
[(13.0291303, 77.55858)],[ChIJRT1ZEmE9rjsRq4GKIFxkIWU]
[(13.0230627, 77.60538070000007)],[ChIJj3_pZqgXrjsRjoDkHRet_OE]
[(12.9220264, 77.6102674)],[ChIJU5BTm_8UrjsR_nX-vV-OaaU]
[(13.008994, 77.53946810000002)],[ChIJzzuY8J89rjsRWWMIzWKf_ng]
[(12.9872459, 77.73206549999998)],[ChIJMxZbo-8RrjsRGVozX1Bj9zM]
[(12.9366908, 77.58554370000002)],[ChIJM-0ajr0VrjsRDlWGy_1P6R8]
[(12.9871492, 77.60420590000001)],[ChIJP1NLA2EWrjsRAU6gHEfan5k]
[(12.9413429, 77.74663720000001)],[ChIJgbHKEogNrjsRDksYqaTBtXg]
[(12.9959938, 77.59547969999994)],[ChIJjZKlpUQWrjsR7z_einizcOo]
[(12.9357785, 77.70529099999999)],[ChIJn9QugFESrjsRaz5rFx7GuhI]
[(12.9976632, 77.60998429999995)],[ChIJ3-pFXfYWrjsRSTZv_2gFtDk]
[(12.935306, 77.70549989999995)],[ChIJ8cm2eVESrjsRVzAb3rBW6Jw]
[(13.033045, 77.59066340000004)],[ChIJ9faz2L0XrjsRmC4mIbQasIw]
[(13.0333664, 77.52043920000006)],[ChIJJzEzliE9rjsRNyc8A6rdCbA]
[(13.0275989, 77.58451309999998)],[ChIJVx54XscXrjsRZCPLgusxEyk]
[(12.9834008, 77.56083020000005)],[ChIJxZYj6fU9rjsRmiJSuoSej1s]
[(13.017403, 77.71025609999992)],[ChIJDQ5JUK0RrjsRtB502X3Upi4]
[(12.9367068, 77.58552259999999)],[ChIJcVwOjr0VrjsR9xmxpZaQcbM]
[(13.0029335, 77.5463694)],[ChIJPVU0vps9rjsR-xREhrwLTVI]
[(12.9488165, 77.57954429999995)],[ChIJ-RUI-usVrjsRtAesMqsUWhM]
[(13.0386304, 77.57617989999994)],[ChIJG0J93-gXrjsRSU9Dp2jEkEU]
[(13.075831, 77.55774739999993)],[ChIJB2lmoKEirjsRaQA9ABSA1Vc]
[(13.0813965, 77.50084820000006)],[ChIJM5UnMxEjrjsROA8rCPszj2g]
[(13.0510287, 77.55283789999999)],[ChIJo6K4OVI9rjsRE90zPoQD9zw]
[(13.0636343, 77.64890020000007)],[ChIJJbtjjv4ZrjsRyzcjicLGlbY]
[(13.0973976, 77.59642209999993)],[ChIJh5g_VVcYrjsRLmYvOfBXEbw]
[(13.097917, 77.59693300000004)],[ChIJhalIUFcYrjsRHW62Jjnx5Yo]
[(13.0625322, 77.58782159999998)],[ChIJHb-ieCEYrjsRwSgndROc16s]
[(13.0730733, 77.54615079999996)],[ChIJQ7_OErwirjsRuwePHHXqmjQ]
[(13.0479367, 77.48647570000003)],[ChIJUx5R7LM8rjsRH0qA-ktWv14]
[(13.0452119, 77.54866019999997)],[ChIJk5Solk89rjsRsDNKArN5XqM]
[(13.0680334, 77.62927109999998)],[ChIJW982C90ZrjsRWA5eA2LEnEU]
[(13.0510212, 77.52713070000004)],[ChIJHW82hC09rjsRItMHqDCj8Xo]
[(13.0793473, 77.6074691)],[ChIJGa5IMDUYrjsRo3IypQ1gn4A]
[(13.0604878, 77.71578309999995)],[ChIJ9RVeiHYQrjsR--Lh0E6g4mM]
[(13.0972007, 77.5828884)],[ChIJEVaMt2AYrjsRquP43mIDPoE]
[(13.0464936, 77.51277479999999)],[ChIJcwpr89Y8rjsRycsRCdlxOqo]
[(13.100814, 77.59561099999996)],[ChIJ2___L1gYrjsRisqEXLIZmSk]
[(13.0951117, 77.57955909999998)],[ChIJp6MOomYYrjsRcbc0n0bTwLA]
[(13.0980729, 77.59651329999997)],[ChIJGZzSWVcYrjsR3LWLuO7uqzI]
[(13.0401639, 77.55712740000001)],[ChIJNapeQlk9rjsR_Z3XhEDBdMU]
[(13.0375662, 77.5006727)],[ChIJo_gfC8Q8rjsRm47mMFLrai0]
[(13.0386582, 77.57626670000002)],[ChIJj0Vf3-gXrjsR-n1O5DkrGKw]
[(13.0627229, 77.46742670000003)],[ChIJo-KMf6gkrjsR-26yT0g1KQo]
[(13.0267917, 77.76819350000005)],[ChIJ96g9ArYPrjsRiFwJfQ2-2dg]
[(13.0739708, 77.78603290000001)],[ChIJ32sRaHkFrjsR-qp70jFlf40]
[(13.0339465, 77.78650760000005)],[ChIJR1eHFqYPrjsRMnzGb86QvRE]
[(12.8977506, 77.60034619999999)],[ChIJFTIMQSIVrjsRkmEH9Jg9JBI]
[(12.898956, 77.54388169999993)],[ChIJ8QI5jME_rjsR7Nrw9NwMH38]
[(12.8867203, 77.5706887)],[ChIJO-0Ip1AVrjsRh-YoRSHEngM]
[(12.8989605, 77.54400599999997)],[ChIJlVIvkME_rjsR_RWuUecKBvk]
[(12.88654, 77.55617770000003)],[ChIJqeAMquQ_rjsRUhJat4zlGzw]
[(12.8870848, 77.55784619999997)],[ChIJn0tmzfw_rjsR9eFH8NQf6-g]
[(12.896461, 77.55890810000005)],[ChIJqYJViuA_rjsRVxwi5qFsl6Y]
[(12.8796783, 77.44670389999999)],[ChIJs8fRcpg4rjsRfijIFImbMOc]
[(12.883336, 77.58319929999993)],[ChIJ5ZzzlUkVrjsRLQ7i4q3akmI]
[(12.881667, 77.60111499999994)],[ChIJq--zbCwVrjsR3bHqBPPgcN8]
[(12.856359, 77.5882762)],[ChIJR-wpr8FqrjsR_83ABqT5_CM]
[(12.8623368, 77.56449040000007)],[ChIJEzwGtKdqrjsRR_bSXpcy0jg]
[(12.8727745, 77.59611139999993)],[ChIJNez4is1qrjsRacFDraLGf1c]
[(12.8397627, 77.6630083)],[ChIJa2zFb4ZsrjsR-FbgBXs7Nh8]
[(12.8192797, 77.68792489999998)],[ChIJ7WoJVU9srjsRHu4EBR8Xhkk]
[(12.8377405, 77.65841169999999)],[ChIJN_hWJoFsrjsR8ipnYP5_MwI]
[(12.877563, 77.64758529999995)],[ChIJ_6LjY1NrrjsR_D2URGChRJE]
[(12.8228957, 77.51386639999998)],[ChIJG42k2gBBrjsRiCQN-trDjPw]
[(12.8306213, 77.58789539999998)],[ChIJD_GvfV9qrjsRtE1CIrNyDbg]
[(12.8775607, 77.64758460000007)],[ChIJtX4XZFNrrjsRbe-fS4_l_t0]
[(12.8704432, 77.62678040000003)],[ChIJtbOy6TZrrjsRxpSQgX3ATMc]
[(12.8127952, 77.58110399999998)],[ChIJjSUIx2tqrjsRIk496bmvkmQ]
[(12.8611039, 77.78248029999997)],[ChIJuSM8pudyrjsRNCrzcjuEzKY]
[(12.8256784, 77.766434)],[ChIJZVkyS2hyrjsRKVlWM4TU9SE]
[(12.8850018, 77.79736520000006)],[ChIJsZoImCxzrjsRZ6_hRjxi6Dg]
[(12.8325932, 77.7350146)],[ChIJr1_8n4RtrjsRVJ0mvHbAU0U]
[(12.806659, 77.78677349999998)],[ChIJHfchiy1yrjsRsoCfDt92ryo]
[(12.7612138, 77.79676440000003)],[ChIJsapu4gVxrjsRimuws8243e4]
[(12.7603034, 77.79749390000006)],[ChIJr1zWzgVxrjsRc1nuaj-lCWo]
[(13.1029418, 77.16589980000003)],[ChIJQ8Y6oBTTrzsRxU_OT1_RdHA]
[(13.1465692, 77.33470020000004)],[ChIJa1q-h9corjsRDk-WBpBdooc]
[(12.7336061, 77.29395750000003)],[ChIJO2wUPIROrjsRObGMyITaBrc]
[(12.7726275, 77.15894739999999)],[ChIJfcQ0x4S0rzsRvE6FvFie8Uk]
[(13.0706265, 77.24423739999997)],[ChIJX_Sn76YtrjsRMOgfKFbBp_k]
[(13.2270107, 77.5310862)],[ChIJfwZyqHEgrjsRRqB52hdrxZ4]
[(13.2069935, 77.43997420000005)],[ChIJEwVpFRMnrjsRSIBg68mV5cQ]
[(12.7427822, 77.44793389999995)],[ChIJqxkXeWdErjsRGtS16Jjuk-0]
[(13.1379262, 77.14800509999998)],[ChIJB0pzr2LUrzsR2PbJWIr9eGA]
