[(12.968913, 77.67285500000003)],[ChIJH-G_uuETrjsR4xV40rrUpPI]
[(12.9186556, 77.58945779999999)],[ChIJ4fbnywsVrjsRITbD2xxHspM]
[(13.0006534, 77.6214334)],[ChIJcblQo-8WrjsR18JNlCyEO2c]
[(12.9957289, 77.54187909999996)],[ChIJ97KANik-rjsRJfdiw6IpLWQ]
[(12.9077709, 77.6107015)],[ChIJlcsHs-MUrjsR3w4b1BHWv5U]
[(12.8852267, 77.5672022)],[ChIJ5W3q5VAVrjsRXz50hQTW2RU]
[(13.0081014, 77.5798178)],[ChIJUzKSczQWrjsRseGRnqREmRU]
[(12.999417, 77.67566699999998)],[ChIJdYyN4j0RrjsREwCiji9or6k]
[(12.8908, 77.596633)],[ChIJTRzFKyUVrjsRdBgGnrr75II]
[(13.011267, 77.67418299999997)],[ChIJL9HVhCERrjsR8vRp6-ahWe0]
[(12.92274, 77.58593999999994)],[ChIJAQAAAKQVrjsRk9I3HAokxOg]
[(12.982633, 77.67373300000008)],[ChIJ1QPh1UIRrjsRdhV0NZ9919g]
[(12.956167, 77.71481700000004)],[ChIJAQAAACMSrjsRcJ53WX9t54A]
[(12.9996849, 77.55275710000001)],[ChIJ_____4w9rjsR1rxmv8ZPTfE]
[(12.997115, 77.69080600000007)],[ChIJDcIlAA0RrjsRu6wT-hb2JtQ]
[(12.997567, 77.57124999999996)],[ChIJV2ezBCUWrjsRxXux3Qa1IyE]
[(12.956624, 77.69682069999999)],[ChIJRQD3FTMSrjsRbx3LgKhOwqw]
[(12.916833, 77.54200000000003)],[ChIJKaizAcs_rjsR60h8Lmah7Tg]
[(13.0152153, 77.62354129999994)],[ChIJrxyAfdgWrjsRv-ZFRd41dOw]
[(13.010783, 77.61616700000002)],[ChIJK1gGq_0WrjsR-_k_FEnkMjM]
[(12.954333, 77.70021700000007)],[ChIJK_dqujQSrjsRJdXavg6bcUA]
[(13.0162, 77.66836699999999)],[ChIJkdPAg9gQrjsR4CdOAiCIBFA]
[(13.0018098, 77.5775873)],[ChIJcfZV2ygWrjsREQCIh-WRiGc]
[(12.995392, 77.56511899999998)],[ChIJNxoQ3iYWrjsRcGruiqqFOBU]
[(12.9963588, 77.57143129999997)],[ChIJTdfWTy4WrjsRSBWH8npGpg0]
[(12.9988946, 77.55082689999995)],[ChIJr3M1_489rjsRoPtPvq7ttB8]
[(12.9970015, 77.67175959999997)],[ChIJoyI32z4RrjsR9YOPtXWBJks]
[(13.0015612, 77.57483760000002)],[ChIJAQAAQDAWrjsR29TWZCrafHs]
[(13.0085113, 77.49959220000005)],[ChIJq6qqGvY8rjsRNlcncZNIGQM]
[(12.914065, 77.58185500000002)],[ChIJ_XTnoHMVrjsRwWWDWavNskM]
[(13.012033, 77.61636699999997)],[ChIJ46gBoP0WrjsRvRnpasuwkPg]
[(13.001693, 77.56382000000008)],[ChIJZa_yRSgWrjsRr_5IC5qu-1k]
[(12.996033, 77.62726700000007)],[ChIJi3Ujz-sWrjsRq4-mfiW6iNA]
[(13.0046452, 77.57851860000005)],[ChIJVVVVFbAXrjsRd3AeDCZ6gkQ]
[(12.990164, 77.67580269999996)],[ChIJAQAA0EERrjsRbFfdtCPFfU8]
[(12.918083, 77.55185000000006)],[ChIJg-k4k9I_rjsRThvM8GJjl6w]
[(12.9966465, 77.60448650000001)],[ChIJdVB2KFkWrjsRdp9Rm35Kdns]
[(13.00428, 77.61392000000001)],[ChIJextaRfEWrjsR0hlLgtarBMo]
