[(12.9344407, 77.61342779999995)],[ChIJdQAA0E0UrjsRHtoB5yuQoIg]
[(12.9897479, 77.72316869999997)],[ChIJeWXtNpURrjsR_Hw03gtcfA8]
[(12.9376702, 77.62704499999995)],[ChIJ14HPCUMUrjsRfsB9eJurSs0]
[(12.9376195, 77.62701449999997)],[ChIJ1YYbqEMUrjsRU2JKQgme_ug]
[(12.9557965, 77.71271469999999)],[ChIJsTSYiTkSrjsRQ68zbQe4v1g]
[(12.9642953, 77.64184449999993)],[ChIJ6fclrBwUrjsRe94vFchNggU]
[(12.95048, 77.69927899999993)],[ChIJM2H9ssoTrjsRDZma7WiMuTk]
[(12.9504123, 77.69999029999997)],[ChIJXeLITzUSrjsRGtXPeE9Z2zk]
[(12.9556531, 77.71177790000002)],[ChIJAQAAAMsTrjsRPsC7VLMuItM]
[(13.000584, 77.61463100000003)],[ChIJTUS3wPAWrjsRsLXWQtcoxC8]
[(12.9904952, 77.58868510000002)],[ChIJZw6bwkEWrjsRscr4M_jfKjA]
[(12.9250658, 77.5508595)],[ChIJkeh8AjI-rjsRiE5JuOHngtY]
[(12.9757539, 77.61702930000001)],[ChIJV_AA8oQWrjsRECBXR63oBzo]
[(12.9165934, 77.59210000000007)],[ChIJH0tijXYVrjsRSUS2dak8Efc]
[(12.9121559, 77.63784320000002)],[ChIJRwZR3ZEUrjsR-F0llyJnP4g]
[(12.9553475, 77.64109970000004)],[ChIJK6Xus1sUrjsR6HHmaSSdapU]
[(12.965214, 77.70177999999999)],[ChIJy4FusioSrjsRUZNiDlMj3JI]
[(12.917107, 77.59674599999994)],[ChIJ00G6BAYVrjsRQFyjg9CF-Pc]
[(12.986344, 77.73249299999998)],[ChIJx5YTlO8RrjsRDghh-AuSse0]
[(13.011697, 77.55693099999996)],[ChIJfZq-TX89rjsRyX4yOvdkSsw]
[(13.0255877, 77.5931683)],[ChIJb8fPELsWrjsRsJ7iQrzDY5A]
[(12.9831439, 77.72008719999997)],[ChIJd5CMLo0RrjsRboHwm9XNEzg]
[(12.9316275, 77.63273660000004)],[ChIJlaM8DmcUrjsRNS6xURPwzFg]
[(13.0195056, 77.63715920000004)],[ChIJEWF6pSYXrjsRVPE_oYl8J3M]
[(13.0089796, 77.64282170000001)],[ChIJlwKgrdAWrjsRb6ODE0UMr_I]
[(13.0181059, 77.64742780000006)],[ChIJVVUVKcsTrjsRjRMaYWlrXHc]
[(12.9052771, 77.61136699999997)],[ChIJa3sj0OIUrjsRYOKrTPssKls]
[(12.9259599, 77.63324620000003)],[ChIJ7cj0UWAUrjsRpN3Z1JJynKw]
[(12.9060716, 77.59589010000002)],[ChIJP27JpRAVrjsR5F8VQeAVfF8]
[(12.9835717, 77.59355600000004)],[ChIJwUMtKG8WrjsRANw4uWcu-uA]
[(12.998495, 77.55229009999994)],[ChIJ1SPqPPE9rjsRF7XhzH3gZ3I]
[(12.973302, 77.61967400000003)],[ChIJLU6lP4cWrjsRYAJI7poLDIw]
[(12.9598663, 77.64473610000005)],[ChIJeWhGThoUrjsRC9L25G7OREQ]
