[(12.9793062, 77.64490390000003)],[ChIJy_9yFaUWrjsRAHepIeWxcXo]
[(12.971283, 77.63486699999999)],[ChIJ25Da56AWrjsRbWiAn-rpS0A]
[(12.9683858, 77.64040669999997)],[ChIJ0-3Jbh0UrjsRwcabwXTezdg]
[(12.997705, 77.61465279999993)],[ChIJTxA4VfEWrjsRqb40RKpcGA8]
[(12.9479865, 77.57198990000006)],[ChIJoZsyFPIVrjsRyKHe-xj9qx0]
[(12.982217, 77.63930979999998)],[ChIJMxbx4boWrjsRzIff6zq7Hsw]
[(13.0019142, 77.57133650000003)],[ChIJsTrXTy4WrjsR-xkt0F2FcxA]
[(12.959032, 77.65426500000001)],[ChIJOfPbAvgTrjsRnhczlnparEE]
[(13.0006261, 77.61637100000007)],[ChIJVY2HX_AWrjsRIljBY3SqYLs]
[(12.96161, 77.61442239999997)],[ChIJDdxzpC4UrjsRG_NR4R2ZkBg]
[(12.979113, 77.64110200000005)],[ChIJcQvcgqQWrjsR3yRgUauytM0]
[(12.998306, 77.54090900000006)],[ChIJ-fRziZc9rjsRON6KU0kBY30]
[(13.0028413, 77.66115689999992)],[ChIJ82BTvzERrjsR-J-0n25dUIU]
[(12.986315, 77.54960400000004)],[ChIJT3j0Qu09rjsRfDg-p0oyRI4]
[(13.008896, 77.53926160000003)],[ChIJ1W7FDzERrjsRCM4bNvJrO2M]
[(12.988423, 77.60255129999996)],[ChIJjUHDyGAWrjsRFoinyS-KWec]
[(13.0048443, 77.62408040000003)],[ChIJVSWzvOUWrjsR5vcLpbCznyk]
[(12.9792842, 77.6436539)],[ChIJD-9ola8WrjsR216M9oY9tm8]
[(12.979483, 77.64068599999996)],[ChIJszV4P6UWrjsRU-nf-03pz7A]
[(13.0108772, 77.55408209999996)],[ChIJP4pfpHg9rjsR6pmyAdpThk8]
[(13.004618, 77.57103200000006)],[ChIJYaAwZC4WrjsRW16NnJ0-IvM]
[(12.9793701, 77.64358879999997)],[ChIJPVM6641srjsRDfDVUXbMItE]
[(12.9914835, 77.5708032)],[ChIJAayEACMWrjsRuiu3lClGvqs]
[(12.973775, 77.64229060000002)],[ChIJ_4M6oKgWrjsRcD7HiMEPOV0]
[(13.003368, 77.57127500000001)],[ChIJsTrXTy4WrjsREqLxA_ScgSY]
[(13.0004298, 77.5369528)],[ChIJKTgOmaI9rjsR-tc7LnuKgIg]
[(12.9586901, 77.65998919999993)],[ChIJLXD3dvATrjsRl8Jos-nL-RU]
[(12.947406, 77.57162500000004)],[ChIJiVVSQfIVrjsRACgdFT7OcY0]
[(12.9755799, 77.61703769999997)],[ChIJ9YCn-4QWrjsR2KQ6-s1oAnk]
[(12.9686071, 77.6489077)],[ChIJUxyo7gEUrjsRbBOBy127RPQ]
[(12.9941761, 77.6613863)],[ChIJm9enPDYRrjsRjjSWOu-X3Bw]
[(13.0068314, 77.57926939999993)],[ChIJVfvE6swXrjsRJv-AwAyDXqk]
[(12.9992682, 77.59987430000001)],[ChIJNWPrT1oWrjsRN22gtCq0WOA]
[(13.0028399, 77.62206790000005)],[ChIJ03OUvOUWrjsRIk_-wT0EeYo]
[(12.986838, 77.591092)],[ChIJ98Pe8mgWrjsRzhusxNrVVWU]
[(12.947437, 77.57144900000003)],[ChIJmZSUOPIVrjsRTQWkroEcY2M]
[(12.989765, 77.53702899999996)],[ChIJ7Vbesr89rjsRz9kw4_CDBoA]
[(12.9702304, 77.62652890000004)],[ChIJV_jDRJwWrjsRpQ9J8DFJSQU]
[(12.9786705, 77.64515610000001)],[ChIJBRzMJKgWrjsRcAojSYfJzmM]
[(12.9891063, 77.5812618)],[ChIJd0sPiBUWrjsRu64Gw6ReHxo]
[(12.947695, 77.59815100000003)],[ChIJP81z9sgVrjsR4ronjlLPGuc]
[(12.9883792, 77.57719470000006)],[ChIJ9XJNJBYWrjsRZAmK9pKX1Ws]
[(12.971328, 77.62761249999994)],[ChIJSQh_VJ4WrjsR-QaL0S_NzLw]
[(13.0009858, 77.56072229999995)],[ChIJEZMClYc9rjsRUpFS-f-TQc0]
[(13.0117163, 77.63522239999998)],[ChIJe5j4GOgWrjsRUB38K1xutGI]
[(13.007433, 77.569167)],[ChIJx7llQiwWrjsRIgnTeAMCng8]
[(13.0001512, 77.63356590000001)],[ChIJq6qqqsMWrjsRq3HlzYaHNO4]
[(13.0007302, 77.55764299999998)],[ChIJq6qqaoY9rjsRV7aUjLjVOag]
[(12.9917438, 77.57055489999993)],[ChIJ7ROhACMWrjsRFqsGLDOJqyU]
[(12.983733, 77.57716700000003)],[ChIJ2XaKzhYWrjsRQgRULDnFVms]
[(13.000203, 77.55291199999999)],[ChIJ1SPqPPE9rjsRSvw2LpnDHrQ]
[(12.9607974, 77.51175549999994)],[ChIJ2a4eooE-rjsRoH50JDle47o]
[(12.9862083, 77.5745819)],[ChIJf-gasiIWrjsRn3P9Jq73IKk]
[(12.958373, 77.63819450000005)],[ChIJjyiKcxoUrjsRIUzoUvVNTQE]
[(12.9727135, 77.65074890000005)],[ChIJq6qqaqwWrjsRuGfrJ6cc6lc]
[(12.9590675, 77.6568456)],[ChIJffKD1vkTrjsRBw-g7OlUEjk]
[(13.0108772, 77.55408209999996)],[ChIJ5VsYung9rjsRGychGY0ftX4]
[(13.003567, 77.60641699999996)],[ChIJMxdux1cWrjsRTiODcyJN95w]
[(12.9919364, 77.57533190000004)],[ChIJI5yd4zwWrjsRHUah-ApJKgk]
[(12.9498818, 77.59667869999998)],[ChIJq6qq6sgVrjsRLucTrCqpu6A]
[(12.9803123, 77.51159899999993)],[ChIJVVVVRTo-rjsRjdYC-qiO3eA]
[(13.0087957, 77.54985529999999)],[ChIJ12TyhT0-rjsRMoYzWz-7DZg]
[(12.9852539, 77.55431139999996)],[ChIJPeVlpfM9rjsRYz363y0QMfg]
[(13.0042546, 77.55403380000007)],[ChIJTyGHeoQ9rjsRWgPac-ejZcM]
