[(12.931413, 77.49925899999994)],[ChIJgaWOKe8-rjsR1vpdfeS6sks]
[(13.0089383, 77.53942069999994)],[ChIJC1TH8J89rjsRxvoZtYDTBXs]
[(13.0116609, 77.67021509999995)],[ChIJDZ6vtyYRrjsRvfoeiqsKTw0]
[(12.923501, 77.61463900000001)],[ChIJVcGcGVYUrjsRr_rig-psJ-0]
[(13.033516, 77.67442200000005)],[ChIJ2ZW6iMEQrjsRn_rIGORzjRU]
[(13.0055717, 77.55638479999993)],[ChIJtcqdV4E9rjsRifqKoZNzCTc]
[(12.9914354, 77.5429282)],[ChIJjbw2R5Q9rjsRg_rO-ib4bHk]
[(12.914516, 77.54704900000002)],[ChIJ39kYL8w_rjsRHfrwjKViyUM]
[(12.956553, 77.41068599999994)],[ChIJ1XEDRog5rjsRFvq91Z6YkqI]
[(13.033949, 77.615276)],[ChIJVejk7QwXrjsRJviHFrGaVhU]
[(12.906333, 77.59502299999997)],[ChIJk8KlvxAVrjsRIfjT4itQAyo]
[(13.026573, 77.514682)],[ChIJyzFX6-E8rjsR8Pc2f-a_vOg]
[(12.92627, 77.60032869999998)],[ChIJY-o7FKkVrjsR6_dqKGWkEA0]
[(12.98474, 77.59684300000004)],[ChIJowBSBGYWrjsR6PchaPVRexI]
[(13.002978, 77.616488)],[ChIJKbxGiPoWrjsRyPdp8Xw0DTY]
[(12.912192, 77.71458099999995)],[ChIJ1X4o6O4SrjsRqffItsF-Pzs]
[(12.966552, 77.50488700000005)],[ChIJlW2LnCg8rjsRp_eiLIAyO60]
[(12.9366519, 77.57643699999994)],[ChIJwTuTNZEVrjsRe_diwnZq-cQ]
[(12.95032, 77.49104)],[ChIJfZ86ML0-rjsReffFMn7fl_U]
[(13.002822, 77.57121200000006)],[ChIJOwGuUi4WrjsRU_dI-_GbfYU]
[(13.016945, 77.62945890000003)],[ChIJybwinx8XrjsRTPcLsxipIWE]
[(12.975231, 77.50962600000003)],[ChIJo_vX7zE8rjsRsPXkLQ-mVR0]
[(12.910716, 77.568624)],[ChIJaWFOQnsVrjsRpvXJ9dXB4ZE]
[(12.945183, 77.54732999999999)],[ChIJodJw_xY-rjsRVfX9hnqFwEY]
[(12.9353568, 77.69122029999994)],[ChIJQ6yEVq4TrjsRR_UtnkweW_c]
[(12.975537, 77.49773099999993)],[ChIJofsNlDw8rjsRGfVkO4Higp0]
[(12.9980296, 77.55161099999998)],[ChIJE8Z_6489rjsRFfVDzHnMHCQ]
[(12.932686, 77.46157400000004)],[ChIJXTuBKjc5rjsR7_SDZ-euxnI]
[(13.026749, 77.58637199999998)],[ChIJgR_B8rgXrjsR5PSpiq_co4E]
[(13.0045474, 77.59968270000002)],[ChIJqdX2BFEWrjsR4vTMY8xwL5U]
[(12.9754191, 77.66684350000003)],[ChIJKS4N6VkRrjsR1_RreeJz05k]
[(13.0220879, 77.5722849)],[ChIJL_XNDdAXrjsRofS3SZY271Q]
[(13.0249264, 77.59182809999993)],[ChIJ_WieFboXrjsREvOxWUuiHBs]
