[(13.0298327, 77.56096130000003)],[ChIJvb6MxWE9rjsRF40ZM5yRdvE]
[(13.008321, 77.59622000000002)],[ChIJp3PBik0WrjsRvi8-q2miDmY]
[(13.0311984, 77.55961550000006)],[ChIJV9B_UGA9rjsRJtRuhH9AgpI]
[(13.008141, 77.56480699999997)],[ChIJp1VVVSoWrjsRkVBrctpF9e4]
[(13.005421, 77.65558499999997)],[ChIJf76ZGPgVrjsRSqWbstKFg40]
[(13.0100273, 77.61852859999999)],[ChIJq6qq2vwWrjsRj7XnH3Q5k4s]
[(13.0368549, 77.56111529999998)],[ChIJFSk_cF89rjsRsWg0r37rc_M]
[(13.0348606, 77.59543869999993)],[ChIJHYypWb0XrjsR60-4_Q4Ezok]
[(13.006762, 77.56236100000001)],[ChIJ_____4w9rjsRPYF1_dtxSwQ]
[(13.062064, 77.58781299999998)],[ChIJ38c1diEYrjsRJW8Ku1aBJq4]
[(12.9693906, 77.64028619999999)],[ChIJiTngiacWrjsRMjPLuj0OQsQ]
[(12.925756, 77.66513229999998)],[ChIJL3xbU50TrjsRsRmv9qdAZ7U]
[(12.9786058, 77.62973220000003)],[ChIJWUz0bJgWrjsRMTXIg7CQpdg]
[(12.9173145, 77.64915969999993)],[ChIJWxutlYMUrjsRKmcLP6gf8hg]
[(12.9137428, 77.63742819999993)],[ChIJkdBDEY4UrjsRLPnFWEbAeqM]
[(12.964454, 77.64952100000005)],[ChIJMYY2NAEUrjsR8U9U7X8wZ4M]
[(12.975499, 77.62580700000001)],[ChIJZ6IqvZcWrjsRn-NSEz_Tf_M]
[(12.9758137, 77.61646089999999)],[ChIJKdWi9oQWrjsRHE2gdXK2zbE]
[(12.973764, 77.61576000000002)],[ChIJHaO_h4MWrjsRK1dCN8SihA0]
[(12.9744759, 77.64019899999994)],[ChIJ8_SscaYWrjsRQEUVrz4Zit4]
[(12.933263, 77.60675700000002)],[ChIJ_QloW60VrjsRTqUmSLxOLH0]
[(12.9715062, 77.65504420000002)],[ChIJAQAAQFURrjsR5MS8_vYuEZY]
[(12.9144926, 77.63244889999999)],[ChIJH_EvF40UrjsRBitiaNSYOks]
[(12.9718565, 77.61792539999999)],[ChIJq6qqqmEWrjsRVlnPCMpgfZk]
[(12.973544, 77.616356)],[ChIJ9874gYMWrjsRiJoRvbG983o]
[(12.925023, 77.66515299999992)],[ChIJmS_OaXUTrjsRjKutcRiql2s]
[(12.9738325, 77.6157796)],[ChIJA5GOh4MWrjsRQoXdY0hLI4A]
[(12.957532, 77.65952100000004)],[ChIJA3JiyvATrjsRIR2VJKvbwSQ]
[(12.976159, 77.61875699999996)],[ChIJkeU6zoQWrjsRUyhBZiVG3j0]
[(12.9746816, 77.60534510000002)],[ChIJf20otn0WrjsROc-MRIwYg_k]
[(12.9713494, 77.627568)],[ChIJE8R9PncWrjsR51qjJbdQPT0]
[(12.9597085, 77.6455823)],[ChIJVVVVhQIUrjsRmbnfCnLjGLk]
[(12.9108686, 77.63288260000002)],[ChIJpcFfSZEUrjsRDvCGiEMLqUQ]
[(12.9475212, 77.68931109999994)],[ChIJa9ahlbcTrjsRRxxuvIZMOHU]
[(12.914187, 77.62352299999998)],[ChIJsW5UvfEUrjsRwdA9MtB1Lgg]
[(12.9226193, 77.68152899999995)],[ChIJmwEA0AsTrjsRZ7EgDR5lnmU]
[(12.9130661, 77.63667940000005)],[ChIJr03LBo4UrjsRA5SUDM9ikJE]
[(12.9254186, 77.68613959999993)],[ChIJ9eONOwgTrjsRwK1CXGykamE]
[(12.9355933, 77.69404910000003)],[ChIJ4USr1q0TrjsRpYQYPNCjkqI]
[(12.9305126, 77.6930165)],[ChIJ9STyZakTrjsR_d9XnqA6B9Q]
[(12.9475127, 77.68931759999998)],[ChIJETWflbcTrjsRssAj_w0wmC0]
[(12.9259898, 77.68654370000002)],[ChIJveCnGAgTrjsR9JPgdzeMJYk]
