Uncaught ReferenceError: google is not defined
Navigated to file:///F:/Project%20Elective%20-%20Traffic%20Modelling/myworkarea/index.html
[(12.9628082, 77.59012970000003)],[ChIJ92WiCt0VrjsRTMhpEjLJ51A]
[(12.956267, 77.58148299999993)],[ChIJE8R9PncWrjsRq7Uwm81Q2oo]
 Counter  : 200
[(12.9707, 77.57351700000004)],[ChIJTf3DoAgWrjsR00XsTtRIo_A]
[(12.972724, 77.57373299999995)],[ChIJVVVVKQ8WrjsRFKbMpVABVVk]
[(12.9700365, 77.58397109999999)],[ChIJ____JAsWrjsRP6gNqMtf6cs]
[(12.9725151, 77.57718390000002)],[ChIJMbf-zg4WrjsRf9lAaSSQdhU]
[(12.9729, 77.577267)],[ChIJo4MV0g4WrjsRnpj7CThx5Fo]
[(12.970539, 77.57562099999996)],[ChIJWaM4keYVrjsRbN6sj3Dld-U]
[(12.9731518, 77.57733129999997)],[ChIJO_rgww4WrjsRPw8CDyLOKFs]
[(12.9707555, 77.58056850000003)],[ChIJAQAAwAsWrjsRgbXk-LRKpuw]
[(12.972379, 77.57850800000006)],[ChIJo4MV0g4WrjsRjsV7dbcZ1kc]
[(12.97305, 77.57849999999996)],[ChIJc3R4rA4WrjsR9m5hMG046Lw]
[(12.973286, 77.57619199999999)],[ChIJIZ-wxQ4WrjsRdlRjb-INjz0]
[(12.973068, 77.5766817)],[ChIJc3R4rA4WrjsRnTRyv5R4xQw]
[(12.972041, 77.57678099999998)],[ChIJo4MV0g4WrjsRkbAzy9fTemk]
[(12.9734083, 77.57745829999999)],[ChIJo4MV0g4WrjsRefXVTjBMfJ8]
[(12.970148, 77.58235200000001)],[ChIJMR2XBQsWrjsRueaTo18k3d8]
[(12.9719702, 77.58062789999997)],[ChIJu2sDwwsWrjsRB_uEYpjK5lQ]
[(12.97262, 77.57783199999994)],[ChIJNVRKjg4WrjsR0_-DHGS3x2M]
[(12.9722683, 77.57689909999999)],[ChIJ7Y5UPHcWrjsRlMha5-nvB1s]
[(12.9701547, 77.57667809999998)],[ChIJsxM8vgkWrjsRMGPACtE0qDg]
[(12.972683, 77.57708300000002)],[ChIJo4MV0g4WrjsRBNqt80M18cM]
[(12.9715081, 77.5764848)],[ChIJPeeZKQkWrjsR52UJQ3Bjl44]
[(12.9735502, 77.57795779999992)],[ChIJq0i-lQ4WrjsRXT-xNW__0AE]
[(12.9700365, 77.58397109999999)],[ChIJ____JAsWrjsRCHbbHytRX80]
[(12.969539, 77.57950040000003)],[ChIJu2sDwwsWrjsRjAUKDiJ4JlU]
[(12.9731168, 77.57672960000002)],[ChIJ948L3A4WrjsRy4Yb30Uy-0g]
[(12.9717353, 77.57418480000001)],[ChIJi33AAAYWrjsR0T8eLhg5vPE]
[(12.9702448, 77.57753589999993)],[ChIJAQAAwAsWrjsRQcst5uRurQo]
[(12.969925, 77.57662499999992)],[ChIJMS0t5wgWrjsRVnY030W7pWk]
[(12.970757, 77.58025900000007)],[ChIJGZYI6gsWrjsRP_8wGUDw0tk]
[(12.9728901, 77.57673610000006)],[ChIJ8aO22w4WrjsRP5_2o-FDVdk]
[(12.972452, 77.57454899999993)],[ChIJgcBCsggWrjsRTuFXFI7cGcU]
[(12.970571, 77.58017610000002)],[ChIJN6w3wgsWrjsR-7awFysSwW0]
[(12.971938, 77.57630999999992)],[ChIJmxKuKgkWrjsR7bTpq5WM1OQ]
[(12.9715694, 77.57646190000003)],[ChIJAQAAwAsWrjsR7E92GAeEGn8]
[(12.970167, 77.57410000000004)],[ChIJwyvhmQgWrjsROen_4AJJKvw]
[(12.972811, 77.57750299999998)],[ChIJ_-M1xg4WrjsRoOImvHhEUXg]
[(12.9698988, 77.57582070000001)],[ChIJaXzA5AgWrjsRSbph7SEv_y4]
[(12.970923, 77.57631400000002)],[ChIJoQhSJwkWrjsROpp9AMNRfns]
[(12.9725581, 77.57713339999998)],[ChIJvWRNJwkWrjsRAYMV5_O8URQ]
[(12.970017, 77.58266700000001)],[ChIJAQAAwAsWrjsR2m85wK2AX88]
[(12.970079, 77.57617099999993)],[ChIJo4MV0g4WrjsR2GOTc-bzBrQ]
[(12.970517, 77.57663300000002)],[ChIJVVVVkQoWrjsR6VxeyymCIpI]
[(12.9697187, 77.57958800000006)],[ChIJqRVq0QsWrjsRPVY1Dh3qW0s]
[(12.9716613, 77.57588859999998)],[ChIJ488I1AgWrjsR7VRjJ_g7r_s]
[(12.971618, 77.576188)],[ChIJEe7g1QgWrjsR8zmdQRGLGWs]
[(12.970759, 77.57630700000004)],[ChIJ4yybIAkWrjsRCTHUyKaSip4]
[(12.970943, 77.57633199999998)],[ChIJ5T9PJwkWrjsRBxt7icd6gAE]
[(12.969901, 77.57789600000001)],[ChIJLU6lP4cWrjsR3f3v1VCrbC0]
[(12.970403, 77.57800299999997)],[ChIJMxNu0AsWrjsRMwqCpDXhZU0]
[(12.9720408, 77.57678080000005)],[ChIJo4MV0g4WrjsRf5jaHTVd_2E]
[(12.9720408, 77.57678080000005)],[ChIJo4MV0g4WrjsRiqCqyexUFtE]
[(12.9720408, 77.57678080000005)],[ChIJo4MV0g4WrjsRnDiNWZKYNLs]
[(12.972358, 77.57862599999999)],[ChIJ2Xw-0A4WrjsRHHUmc6w5G6E]
[(12.9719702, 77.58062789999997)],[ChIJu2sDwwsWrjsRdx7jTvWdZvg]
[(12.9719702, 77.58062789999997)],[ChIJu2sDwwsWrjsRG1DrYjJMhLc]
[(12.972847, 77.57722669999998)],[ChIJIZ-wxQ4WrjsRuzdu_XUvuI0]
[(12.970683, 77.58019999999999)],[ChIJu2sDwwsWrjsRa5FQ-pydUGk]
[(12.972078, 77.57686799999999)],[ChIJo4MV0g4WrjsRjcPXWNQLeDU]
[(12.9697138, 77.57594549999999)],[ChIJi33AAAYWrjsRSz18ScCnU4M]
[(12.9722781, 77.57687759999999)],[ChIJo4MV0g4WrjsRTX1b2KWluyo]
[(12.9722781, 77.57687759999999)],[ChIJo4MV0g4WrjsR_5NFkKu1uF8]
[(12.9718361, 77.57663950000006)],[ChIJIZ-wxQ4WrjsR-5IhbzVgTfs]
[(12.9705842, 77.58158149999997)],[ChIJf2DPowsWrjsRV8KRvrJBIrw]
[(12.970133, 77.57558300000005)],[ChIJkfnRwwgWrjsRj2onvA5_Ulw]
