[(12.976033, 77.60846700000002)],[ChIJYRjleYcWrjsRXyCoWxjWlBI]
[(12.9799, 77.60559999999998)],[ChIJO0uEJYEWrjsRVK-f1uX-nPA]
[(12.9689261, 77.60029179999992)],[ChIJ5Q9a63gWrjsRo6C_XZl1t9k]
[(12.96148, 77.59845999999993)],[ChIJSVeb0tAVrjsRqWMHuBv7jI8]
[(12.9543343, 77.59139949999997)],[ChIJ7dhfvcQVrjsRQY4Hfh9t-Zs]
[(12.9695303, 77.58355069999993)],[ChIJF8V9PncWrjsRfeqhDvOsYLg]
[(12.9685749, 77.58737769999993)],[ChIJFZMbdXUWrjsReZuctavGKDM]
[(12.9529715, 77.57984379999994)],[ChIJ--af2ugVrjsRHLH8A16CUTU]
[(12.9659506, 77.60546190000002)],[ChIJ36ljDtUVrjsRwYuUmMilcKA]
[(12.9770284, 77.57768490000001)],[ChIJEU1RPQ4WrjsRCwrnaMdvvOU]
[(12.9598815, 77.52925779999998)],[ChIJ5TCVFXc-rjsRvmSm9fN5oOs]
[(12.9795469, 77.53888529999995)],[ChIJAdH1dsI9rjsRO0h0lx-1qEM]
[(12.9731543, 77.52980809999997)],[ChIJlyDq-to9rjsRp3KPGEHxMj4]
[(12.967083, 77.53623300000004)],[ChIJfyiTqt89rjsR_ztXnKI1zu8]
[(12.9798911, 77.55421219999994)],[ChIJ3coDG_E9rjsR5oQUewfCHyA]
[(12.981447, 77.60914500000001)],[ChIJjbddClo8rjsRwCUFm3W38s4]
[(12.957467, 77.58210000000008)],[ChIJ_a5precVrjsRp-MwE85SvyU]
[(12.9685017, 77.57485099999997)],[ChIJlTNjXAgWrjsRrlYFBf-0mWc]
[(12.968267, 77.60085000000004)],[ChIJU94Po3gWrjsR-_26eF_7lcA]
[(12.9777296, 77.54953980000005)],[ChIJX_LX6e89rjsRBX_8ADRl2D0]
[(12.9696182, 77.58281020000004)],[ChIJYWggHQsWrjsRdTPQoKo_uHc]
[(12.9635891, 77.53780510000001)],[ChIJP6IIQ3U-rjsRCUzCaQN4Qtg]
[(12.9748, 77.60571700000003)],[ChIJs_kKuH0WrjsRI7LpDORwr3E]
[(12.9681528, 77.53939939999998)],[ChIJy6S2nOA9rjsR74ylofOTg8E]
[(12.968483, 77.53784999999993)],[ChIJwy6NPt49rjsRoCcLqaaJjNk]
[(12.9787192, 77.57699849999995)],[ChIJNfYGxhEWrjsRCcBoMbPJTtY]
[(12.9692185, 77.60860879999996)],[ChIJLxrNEoAWrjsRbwauGFrL6_w]
[(12.959967, 77.52693299999999)],[ChIJ9_mU3Hk-rjsRwqVu74fgpEo]
[(12.9730602, 77.53809109999997)],[ChIJaX7_m909rjsR8p8cPisauck]
[(12.9590099, 77.55369910000002)],[ChIJJ18pSwQ-rjsRCLJa6OjKPkA]
[(12.961733, 77.52138300000001)],[ChIJAzp0MX8-rjsRQVX2hVsO7Ls]
[(12.979913, 77.55424240000002)],[ChIJB9lYGvE9rjsRn7l8IEonRVg]
[(12.979402, 77.57508200000007)],[ChIJ-6fbXRAWrjsRuEAqsHjococ]
[(12.9784426, 77.57528809999997)],[ChIJiXsKOxAWrjsRk_ywfUwiKlY]
[(12.9776642, 77.57231179999997)],[ChIJxR10tBoWrjsRKClIgW6p53Q]
[(12.9811878, 77.60162319999995)],[ChIJGw5phGQWrjsRtDO5QW3pG5A]
[(12.9578526, 77.56214299999999)],[ChIJ2ZctnfgVrjsRQXJajAGV9f0]
[(12.9773933, 77.54234980000001)],[ChIJQdXJQd49rjsRE7mbIEUMMq0]
[(12.9592167, 77.58280590000004)],[ChIJRTxOF-cVrjsRvUBorbOd5Bo]
[(12.95805, 77.53408300000001)],[ChIJ5TCVFXc-rjsRzCyvkqHmxAA]
[(12.970732, 77.52492899999993)],[ChIJa8Ve3tA9rjsRUomG5k9Sp38]
[(12.9770443, 77.54229269999996)],[ChIJee8cjOg9rjsRv9VUy3TqMCI]
[(12.9634421, 77.58954089999997)],[ChIJY6RW294VrjsRCoQQbF4Z2fo]
[(12.968483, 77.53783299999998)],[ChIJb0zyPt49rjsRd1ryvyWD-TY]
[(12.95475, 77.57403299999999)],[ChIJ9wM2-O8VrjsRBdHMZUthXJ0]
[(12.9600168, 77.64514159999999)],[ChIJ4T3KoAUUrjsRAqA8MU7QxVc]
[(12.9812894, 77.65715)],[ChIJrWQDelIRrjsRtQ0GPel0-VY]
[(12.934741, 77.61265490000005)],[ChIJpQ018E0UrjsR7_iLJUixqL0]
[(12.9766658, 77.64656070000001)],[ChIJI2bbjK4WrjsRZ33G-i2NFIE]
[(12.97391, 77.64674639999998)],[ChIJ6UmlqaAWrjsR32G5nVlTFdM]
[(12.9306994, 77.62302360000001)],[ChIJw9ylvFsUrjsRjE16KlaOO9A]
[(12.9646534, 77.64171910000005)],[ChIJ4T3KoAUUrjsRXXoox4-jBqY]
[(12.942489, 77.62238819999993)],[ChIJ6W7E-UYUrjsRSl_8_zDMA-E]
