Uncaught ReferenceError: google is not defined
Navigated to file:///F:/Project%20Elective%20-%20Traffic%20Modelling/myworkarea/index.html
[(12.956093, 77.59214500000007)],[ChIJ2XbbNdsVrjsRK0dZ83vMtDI]
[(12.9823662, 77.60116560000006)],[ChIJExyCb2QWrjsRrEUw35M6jqs]
[(12.9699228, 77.5326374)],[ChIJAQAAkHM-rjsRQ0VrrU9-Xso]
[(12.953747, 77.56042320000006)],[ChIJlTs2Nh0-rjsR7ESVgSfZstU]
[(12.9558274, 77.55805340000006)],[ChIJc5O8FgM-rjsRhURYvuYBdzw]
[(12.9534954, 77.56487190000007)],[ChIJ-woVdvcVrjsRnEMqClZgoCQ]
[(12.9630169, 77.56658459999994)],[ChIJVVVVxfwVrjsRc0PDHUlAGUU]
[(12.964028, 77.57214699999997)],[ChIJSTEoPf0VrjsRDEN61_RwzYs]
[(12.958397, 77.53911500000004)],[ChIJ-QXprAw-rjsRRUCAq3Sl0nY]
[(12.9617253, 77.61354430000006)],[ChIJj3T8py4UrjsRLkAaGARHYLc]
[(12.9649057, 77.53239710000003)],[ChIJC-fUutg9rjsRKEAqzHuddyY]
[(12.966179, 77.57756999999992)],[ChIJ50vjdOIVrjsRC0Dc47mpGew]
[(12.9822042, 77.53972929999998)],[ChIJq6qqGuo9rjsRAkDUoCJ0xT8]
[(12.975636, 77.55622900000003)],[ChIJHZcc9vk9rjsR4j5IwvNR9x0]
[(12.9690284, 77.60189650000007)],[ChIJN5OLyngWrjsRbzn7FqgC0Ho]
[(12.968148, 77.53033879999998)],[ChIJJbKLoNk9rjsRVTmxeNWiBb8]
[(12.9708181, 77.54230389999998)],[ChIJb3cf0eY9rjsRGDlZNuQhhV8]
[(12.979767, 77.54271700000004)],[ChIJH3m8Eek9rjsR-jWvKMnj004]
[(12.951514, 77.60753399999999)],[ChIJ37STrcwVrjsRCjQqiVRqJJ0]
[(12.9817203, 77.52884619999998)],[ChIJd6yaEsY9rjsRkzNOrO13FxQ]
[(12.9715987, 77.59456269999998)],[ChIJWTTSMIs9rjsRkjHvGyjf3I0]
[(12.9577228, 77.58820850000006)],[ChIJN8Mz-9wVrjsRKTArSaw1UtY]
[(12.975636, 77.55622900000003)],[ChIJHZcc9vk9rjsRZy4p_eT7zao]
[(12.953576, 77.61331100000007)],[ChIJpfRHRC4UrjsRNS2sCC0rmeY]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRGy1hRjH2vLw]
[(12.9709468, 77.52235100000007)],[ChIJ_1RVZtE9rjsROSqN63bi-KM]
[(12.9719702, 77.58062789999997)],[ChIJu2sDwwsWrjsR4CUBrR3ZRqw]
 Counter  : 199
[(12.9264532, 77.55102349999993)],[ChIJ7xFKIy4-rjsR5XtqzAkL7OM]
[(12.917686, 77.57790599999998)],[ChIJscqLjXYVrjsRfz_iRYQGtco]
[(12.934947, 77.560429)],[ChIJj07CDCc-rjsRKo0TCVnNYOI]
[(12.923208, 77.5850633)],[ChIJ8TwfIaAVrjsRH7h82EjXm64]
[(12.92345, 77.57569999999998)],[ChIJxX_xBJ0VrjsR7m0_EI7xips]
[(12.943749, 77.57132100000001)],[ChIJU3vkIo0VrjsR6dgt_HNt9Mg]
[(12.929341, 77.53629369999999)],[ChIJK7qaW0g-rjsR_YNnZd2P5PI]
[(12.9320802, 77.57957090000002)],[ChIJ9fPI-5kVrjsRu6ktsgs4guU]
[(12.9425135, 77.54741949999993)],[ChIJh4o3KxY-rjsRYik7RmhyjQs]
[(12.9465429, 77.54181100000005)],[ChIJG39rihQ-rjsRydwiWJ1VhhQ]
[(12.938166, 77.58281799999997)],[ChIJSQcNd5YVrjsREJ_scVlavjc]
[(12.914675, 77.56410400000004)],[ChIJI2Le2X0VrjsRWnJScf5rlWU]
[(12.9323613, 77.5865718)],[ChIJlxbeyKIVrjsRDmpSQZYK_fg]
[(12.9307793, 77.58225590000006)],[ChIJedBLTJgVrjsRq7s08NOOUwY]
[(12.931298, 77.56552599999998)],[ChIJ9eRhJYYVrjsRL4JfdwIFUP8]
[(12.9176719, 77.57782139999995)],[ChIJH0tijXYVrjsR35kdgg9-DXk]
[(12.9466868, 77.5717376)],[ChIJUQabXvIVrjsRwmP-e5m5Ba8]
[(12.9225772, 77.58379330000002)],[ChIJzwAXsp8VrjsRViqydFQvUWA]
[(12.9221911, 77.5526337)],[ChIJgWxgBS0-rjsRpnmpCO-zNq8]
[(12.9418258, 77.55271749999997)],[ChIJ7aySjyI-rjsR5gNT9AQTE2Q]
[(12.925833, 77.56459999999993)],[ChIJVVVVFYEVrjsR5GDTCBLyKdo]
[(12.93015, 77.53937999999994)],[ChIJzc-H-zc-rjsR2JwyF8prI48]
[(12.9409595, 77.54375060000007)],[ChIJJb1zEz4-rjsRCkbIow_GMeM]
[(12.930242, 77.57804599999997)],[ChIJAQAAAKQVrjsRn-ORk8MlAi4]
[(12.9456257, 77.54413610000006)],[ChIJiQ2ULxQ-rjsRPrOcOcrhvFY]
[(12.9274474, 77.57792700000005)],[ChIJoZfd85sVrjsRlAdzQImMtTM]
[(12.9375582, 77.58564810000007)],[ChIJcV8-7r0VrjsRAlb_x3xw8oA]
[(12.9241475, 77.5669795)],[ChIJywaTeoEVrjsRazsUKDEiWq8]
[(12.9422304, 77.57483760000002)],[ChIJAQAAwJIVrjsRQyaree1TQhA]
[(12.934527, 77.54352199999994)],[ChIJg8S9Fi0-rjsRQOCka5LVJ5A]
[(12.931217, 77.51516700000002)],[ChIJa2mBw_c-rjsRvgj1ePyaVp0]
[(12.935188, 77.56070899999997)],[ChIJVVVVVTk-rjsRLSjllIa_Cdw]
[(12.9257187, 77.57018900000003)],[ChIJHYW2nIMVrjsRxs9QOmzooQA]
[(12.9212513, 77.57973570000001)],[ChIJE3Rx-HUVrjsRihphKWWwzA0]
[(12.9367712, 77.55726759999993)],[ChIJZ8V6kiU-rjsRI3-P3PF1_9U]
[(12.926655, 77.55075199999999)],[ChIJE8R9PncWrjsRZ0WFCUyfIOs]
[(12.930796, 77.55433599999992)],[ChIJ____kBU-rjsRX7HyANTBzKU]
[(12.925913, 77.58363600000007)],[ChIJGzHVd6cVrjsRuGVZCrF6C-M]
[(12.9292429, 77.5672257)],[ChIJKctmfYYVrjsROCly4IyMIEQ]
[(12.918688, 77.57797089999997)],[ChIJiWf66XUVrjsRdHIxXHs7T60]
[(12.9356874, 77.56888159999994)],[ChIJq6qqmogVrjsREEk1-KRq0R8]
[(12.9468294, 77.55412060000003)],[ChIJS0-6Ehk-rjsRg_4cWVZbPeo]
[(12.9421196, 77.54476840000007)],[ChIJ_dLm_z0-rjsRxv29-maXANM]
[(12.9432273, 77.54801729999997)],[ChIJvchizhc-rjsRV_3YHAIQpnU]
[(12.9214999, 77.55224980000003)],[ChIJHZLZFS0-rjsR4fnmhagEIUs]
[(12.9441263, 77.56135369999993)],[ChIJkexo5h8-rjsRqPjQ-YxQaYM]
[(12.9416706, 77.57117219999998)],[ChIJbzNR2vIVrjsRv_Z5gEroR7s]
[(12.9156029, 77.56126560000007)],[ChIJR_kw8NU_rjsRmfSo2AnKp0o]
[(12.9208728, 77.55068740000002)],[ChIJa7sjWS0-rjsRFfQSTmiEdBc]
[(12.916664, 77.569073)],[ChIJZWLaP3kVrjsRAvQfEqi6bQ8]
[(12.9347267, 77.54450139999994)],[ChIJTXZmYTk-rjsRMvG6geVXAmg]
[(12.9236345, 77.56362000000001)],[ChIJKbZt9IAVrjsRA--LOedYUnk]
[(12.9451542, 77.54860940000003)],[ChIJNx9Dpxc-rjsRTeK4O52DMRw]
[(12.9423758, 77.54776040000002)],[ChIJ60R61Rc-rjsRYuGEpOrf9PA]
[(12.9260219, 77.55332799999996)],[ChIJe0H-fS4-rjsRheBrfDVlJy8]
[(12.9463566, 77.5417731)],[ChIJ7TjBihQ-rjsRwt8HOQKnmnY]
[(12.9461452, 77.57044840000003)],[ChIJA0VHAPMVrjsRvt_0ihN0bBc]
[(12.9251456, 77.54991799999993)],[ChIJ1_99AzI-rjsRid8MndYCL2w]
[(12.9206143, 77.58353439999996)],[ChIJaQfzQnUVrjsRSdoiTcZUt-I]
[(12.9411266, 77.53991500000006)],[ChIJlWsI7z8-rjsRttkBdDwgMaQ]
[(12.9449452, 77.5704647)],[ChIJB_PGH_MVrjsRxNfgfhU1IU8]
[(12.9443919, 77.55735770000001)],[ChIJZWffPh8-rjsRx9V8TWc2KA0]
[(12.9394598, 77.5341439)],[ChIJTbbzmkE-rjsRwtVQqUqNcqo]
[(12.9198595, 77.58018100000004)],[ChIJiWf66XUVrjsRBdRYO7iDqt8]
[(12.922633, 77.55271700000003)],[ChIJQ4TXS4YVrjsRr9BugGrxENc]
[(12.9441409, 77.55198159999998)],[ChIJMzKKQBg-rjsRg85T84J7O6Y]
[(12.9325411, 77.5395241)],[ChIJz1sPcTg-rjsRE8xLZe99syg]
[(12.9399218, 77.58293260000005)],[ChIJYV3wuJUVrjsRB8v6E7SuVmQ]
[(12.918034, 77.5600091)],[ChIJFUT4DtU_rjsR9crklA3x8VY]
[(12.9443118, 77.55549730000007)],[ChIJwcyByBg-rjsRkcqmHGGl_jA]
[(12.9397976, 77.54509669999993)],[ChIJNRez1j0-rjsRQspDrfcA2no]
[(12.939449, 77.55086879999999)],[ChIJxyF7KSM-rjsRKcnUwuhFnLQ]
[(12.9452202, 77.54871300000002)],[ChIJVycHChc-rjsR58j5aqjQM4c]
