[(12.9499602, 77.69997969999997)],[ChIJiVUxVDUSrjsRZt--7SzF2ew]
[(12.9642471, 77.64131120000002)],[ChIJW_a5pRwUrjsR8IIEOZnC-AM]
[(12.9703419, 77.64099779999992)],[ChIJm9xl7KcWrjsRVQ5jGm_zu_Y]
[(12.9989038, 77.54103320000002)],[ChIJR_UbJJg9rjsReWhTjqnzqe0]
[(12.9339777, 77.61180050000007)],[ChIJf6z6hU0UrjsRekhvqmLVqeM]
[(12.9791488, 77.7288026)],[ChIJf5CQsvYRrjsRc5O94mse0qU]
[(12.99021, 77.71598399999993)],[ChIJ2TGAAgsRrjsRf5bbh8Ya2-A]
[(13.0247226, 77.55743949999999)],[ChIJNa6GdWM9rjsRQBk9AlTit5Y]
[(12.9281582, 77.61602990000006)],[ChIJo3WE6_cUrjsRQTzUuJNASJM]
[(12.916285, 77.6104259)],[ChIJqx6DF_wUrjsRqxhn4U8yUcc]
[(12.9349972, 77.62894529999994)],[ChIJ9wdby0IUrjsRCCYXsEcQBc8]
[(12.9404395, 77.58390140000006)],[ChIJv7qNCpIWrjsRpzzcoVw6iys]
[(12.991835, 77.57046100000002)],[ChIJLYDzqSMWrjsRCpIpFyY9gX8]
[(12.9336087, 77.62291099999993)],[ChIJExkxO1sUrjsRguVlpnL_qKg]
[(12.9170981, 77.55467950000002)],[ChIJxTpKoNM_rjsRVmjC-PQZH-o]
[(12.9966076, 77.69653560000006)],[ChIJfaiGHQsRrjsRHkp3HcTtWU0]
[(12.8940525, 77.54187909999996)],[ChIJAQAAwME_rjsRg5YzMT_SQYQ]
[(12.944867, 77.570922)],[ChIJ8wJW5_IVrjsRj9yMHTwS-rY]
[(12.9918771, 77.57116380000002)],[ChIJJYWYBCMWrjsRC84ZhpNPU_w]
[(12.9276224, 77.62730069999998)],[ChIJK6Xus1sUrjsR9beMlvKeZWA]
[(12.9964038, 77.69650879999995)],[ChIJW2wQHgsRrjsRWe2Dl0rvMUQ]
[(12.9968585, 77.69655169999999)],[ChIJdeqnAgsRrjsRh6_G0Gn-1BA]
[(13.010736, 77.55473759999995)],[ChIJ276wt-ZArjsRxY5J96a0d64]
[(12.9756906, 77.64128010000002)],[ChIJ2z17YyoXrjsRot0B6AVSypw]
[(12.929614, 77.50854400000003)],[ChIJvdLYm_A-rjsRmd_pSKurAYQ]
[(12.9203804, 77.55987970000001)],[ChIJCULAMtU_rjsRNt-Q0JrvuI8]
[(12.918796, 77.67020409999998)],[ChIJYfqoXHETrjsR9ZdwB59PvZY]
[(12.9962639, 77.6169658)],[ChIJU54mjvEWrjsRh1eNr8And_s]
[(12.9916471, 77.57117990000006)],[ChIJUS_cAiMWrjsR5UWJ5O6b20w]
[(12.9332012, 77.51669879999997)],[ChIJo2ztmlg-rjsRqLlBdUHTiyI]
[(12.9095083, 77.56476640000005)],[ChIJ248mKn0VrjsR9QuSjFBxSTQ]
[(12.912168, 77.66625499999998)],[ChIJZekPl28TrjsROFILVDqkMAU]
[(12.9313053, 77.57583210000007)],[ChIJI-cYjJoVrjsRkpYUJesoT3A]
[(12.9104479, 77.57310170000005)],[ChIJbal0p3oVrjsR3HZ7VPOgEaE]
[(12.922408, 77.51935000000003)],[ChIJwZ5wSVQ-rjsR8kX15r6wuMQ]
[(12.9791692, 77.51044849999994)],[ChIJG-Zj4jM8rjsRLSxNUSxRMWI]
[(12.988082, 77.51167800000007)],[ChIJzSe1N0o8rjsRFS8tKtFgFz8]
[(12.8994726, 77.65064299999995)],[ChIJVVVVVZoUrjsRy4_GPmEz4ZA]
[(12.972724, 77.53547400000002)],[ChIJbV-NV9w9rjsRPHGfT_M0YQU]
[(12.9363267, 77.61662100000001)],[ChIJs24ND04UrjsR-DanfJLVUoI]
[(12.9565341, 77.70070599999997)],[ChIJE9OtQTMSrjsRzc_ck86jv6w]
[(12.9962384, 77.5735426)],[ChIJoaZBMzsWrjsRf1zPtOYfPv0]
[(13.0108514, 77.55481669999995)],[ChIJI4H-png9rjsRJVqg1GMsrd0]
[(12.9787359, 77.72864700000002)],[ChIJEWlLrvYRrjsRXs7drgEU8Go]
[(12.959464, 77.7473635)],[ChIJEwwrW_YNrjsR-jNrmfoxs2k]
[(12.919105, 77.65148599999998)],[ChIJT9bgJ4IUrjsRSK7iciJbRxQ]
