[(12.9408476, 77.57300910000004)],[ChIJSVzCeI0VrjsRjLGUNw6NcH0]
[(12.9453146, 77.58621189999997)],[ChIJZVfrFMAVrjsRpTk6PW7Ss2E]
[(13.0089064, 77.56175989999997)],[ChIJOygU2ykWrjsR3IXsvrN85Dc]
[(12.9912575, 77.55531440000004)],[ChIJpRq-0po9rjsRUsU-_vptjOg]
[(12.994533, 77.53233499999999)],[ChIJiexfl7s9rjsR0i_ElTyLlSw]
[(12.904171, 77.59479299999998)],[ChIJT6b1OBcVrjsRkcNvShKPVfw]
[(13.035488, 77.56759599999998)],[ChIJh4OaNecXrjsROfiRSyUZs8M]
[(12.9197017, 77.57590770000002)],[ChIJq7AeqYMVrjsRjifHhKNQKmw]
[(12.926184, 77.58552399999996)],[ChIJhbLl5aEVrjsRqWnWW7HO64U]
[(13.0229764, 77.5616741)],[ChIJrY5ZyGE9rjsRkU4ZDpybqvg]
[(13.030254, 77.57046590000004)],[ChIJCQcNcIUXrjsR5M50MLjhuCc]
[(13.0303352, 77.55754079999997)],[ChIJrY5ZyGE9rjsRsVcbGB4Cl9c]
[(12.937383, 77.58194600000002)],[ChIJAXfDiZYVrjsReRvd7KBsm3M]
[(12.9876654, 77.59827519999999)],[ChIJYcRl8WUWrjsR0bdAkN1em4g]
[(12.9, 77.48333300000002)],[ChIJoXRTF9g-rjsRM0WRVLcn1Xc]
[(13.0352886, 77.5752675)],[ChIJSd7kNeYXrjsRdj888EQqCAs]
[(12.9285516, 77.56372439999996)],[ChIJQaMfDIcVrjsRl4j8PSinybg]
[(12.911932, 77.59815800000001)],[ChIJ9_IHPAUVrjsR3v7aC5KWQxs]
[(13.0223141, 77.59489459999998)],[ChIJVVVVFbAXrjsRbrebECxfFAY]
[(12.9084661, 77.59939800000006)],[ChIJXUdABxsVrjsR3tcZ2BONjZE]
[(13.03522, 77.567589)],[ChIJ-a5sBuIXrjsRkS_WUUddL_8]
[(12.8804626, 77.5975512)],[ChIJra1DmC0VrjsRmm1UQCf5meI]
[(12.914402, 77.63860299999999)],[ChIJsxc6SI4UrjsRcioALPY6dZ4]
[(12.9829543, 77.559303)],[ChIJoxqy0_U9rjsRwDKW4gc0NOg]
[(12.9856699, 77.59672790000002)],[ChIJh9AHImYWrjsRC3pruwrLHN0]
[(12.9816226, 77.604151)],[ChIJbxLIB2MWrjsRhgbjNzXO714]
[(12.985175, 77.53739999999993)],[ChIJGeIpQcA9rjsRm78yRZ7MXnI]
[(12.982224, 77.54774599999996)],[ChIJ____z-w9rjsRq5GhnbJD6bs]
[(12.984166, 77.55028800000002)],[ChIJ____P3UVrjsRksYLbBvUduA]
[(12.9836521, 77.5957568)],[ChIJnQW1Wm8WrjsR-0SjnCizdeg]
[(12.9836495, 77.59566310000002)],[ChIJt14-jXkWrjsRybU1aPmpNvk]
[(12.9800556, 77.61281770000005)],[ChIJrbT-r4gWrjsRTTq2Fg9usU0]
[(12.9852337, 77.60685050000006)],[ChIJgcq7a2EWrjsR_Uki8egm37E]
