[(12.9304184, 77.6224181)],[ChIJL5TwtVsUrjsR7fxp7J4gGco]
[(12.9969489, 77.62115470000003)],[ChIJedjxdu4WrjsRzUz2P-yEnBA]
[(12.9750149, 77.61453180000001)],[ChIJSQAMFoQWrjsR5szFiRmn-14]
[(12.9892008, 77.56534340000007)],[ChIJ51FLziEWrjsRWaB67wk_1c0]
[(12.9977493, 77.55939319999993)],[ChIJ7RCaXog9rjsRBWALyq6VNMM]
[(12.9310654, 77.5398831)],[ChIJ-8dwGzg-rjsRvumWoZQAuuo]
[(12.9899718, 77.56943639999997)],[ChIJbz0EaiIWrjsRabXizqDbKEw]
[(12.9300756, 77.58426229999998)],[ChIJI4gTfZgVrjsR3NjW-3qkfxI]
[(12.9451314, 77.57193329999996)],[ChIJrfPZ6vIVrjsRnqgWXuEJf2Y]
[(12.930065, 77.6842216)],[ChIJYXyy76YTrjsRH31_cIZ8k3w]
[(12.9924032, 77.59552129999997)],[ChIJE8R9PncWrjsR8iU6WW8KDt0]
[(12.937783, 77.58688299999994)],[ChIJu33xCpgVrjsReXksc9IuU9M]
[(12.9340609, 77.62267659999998)],[ChIJdZelL1sUrjsR8KfOsHJZ7vw]
[(12.9817501, 77.63660890000006)],[ChIJLzocYLsWrjsRbO6PvV0vaFQ]
[(12.9698269, 77.63893250000001)],[ChIJtw_We6cWrjsRCeZXQF6rW9g]
[(12.956016, 77.66177399999992)],[ChIJOxbqA_ETrjsR2gknwwDPYTU]
[(12.9901731, 77.56388160000006)],[ChIJ7YTETiAWrjsR8Jr_qvWvcB8]
[(12.9338054, 77.62264340000002)],[ChIJf42nJVsUrjsRrCBlSQjOvGE]
[(12.937648, 77.54657799999995)],[ChIJ9yZHaTw-rjsRyTcYcworgfM]
[(12.9944266, 77.70043420000002)],[ChIJ-7lp8Z8RrjsR333iFIhjueE]
[(12.9891277, 77.57761719999996)],[ChIJ____LxcWrjsRDOXc-Z4p7lg]
[(12.9966598, 77.57831650000003)],[ChIJcQUXxTsWrjsRq5z9eanRVN4]
[(12.9844666, 77.60889099999997)],[ChIJXRD584kWrjsRh957sHKwBZs]
[(12.9741927, 77.61588449999999)],[ChIJ1yt5_zcUrjsRYyjwdXhhAKE]
[(12.9895497, 77.57570340000007)],[ChIJdYmFej0WrjsRYyoZ8RzB0pY]
[(12.9994743, 77.56823669999994)],[ChIJC9wp-iUWrjsRpb9Bdf_rWIs]
[(12.957351, 77.61484399999995)],[ChIJJXfyGC4UrjsRpzJOyduSqDU]
[(12.991468, 77.65692339999998)],[ChIJhfaPYEoRrjsRhAw_L20ZWPM]
[(12.9436073, 77.55504259999998)],[ChIJlXBdvBg-rjsRUCuevZZdAIM]
[(12.9559957, 77.69432710000001)],[ChIJBQsVGswTrjsREvE5vDCKuDQ]
[(12.9398423, 77.6205943)],[ChIJD1sJ3kUUrjsR2uEDhnyL7Ac]
[(12.9976755, 77.67807859999994)],[ChIJMevZvRURrjsRu_sTuBwgYHM]
[(12.9345136, 77.55671740000003)],[ChIJERVYhiY-rjsR7kemZm5_vgI]
[(12.9462299, 77.59596280000005)],[ChIJXcDV3ccVrjsRQKNWVwQWhCE]
[(12.9960823, 77.6134475)],[ChIJk36-APQWrjsRH_ZDQ8B5DPQ]
[(12.97526, 77.6245884)],[ChIJsf9z45sWrjsRbMtn3TgXIEc]
[(12.930117, 77.58596699999998)],[ChIJU06SFqAVrjsRPZ2WZIRuVg8]
[(12.998599, 77.55423900000005)],[ChIJX1YHZY89rjsRPBjEyGM25pA]
[(12.9611825, 77.6382678)],[ChIJaVZGsRsUrjsRcT7mgv4hpSA]
[(12.9614166, 77.63815360000001)],[ChIJW9I4txsUrjsRIP1vOtW5xXw]
[(12.929741, 77.58654200000001)],[ChIJ5zKcXqIVrjsRP1DrM_EjtrU]
[(12.9360885, 77.61628380000002)],[ChIJK8BZqFsUrjsR7jfcU7LSn78]
[(12.9809038, 77.63981289999992)],[ChIJb8Gz07oWrjsRbP67fzE-vKM]
[(12.9785003, 77.63911529999996)],[ChIJOczV4qQWrjsRwsQ9XXSaAmY]
[(12.9600338, 77.7010153)],[ChIJi3eZGTMSrjsRzlYKRJVS3KA]
[(12.9857608, 77.64511190000007)],[ChIJOxy-J7EWrjsRTtcGV17G_eg]
[(12.9325743, 77.59147940000003)],[ChIJXXFXsKQVrjsRFvIvVxWuKyA]
[(12.9745977, 77.65504250000004)],[ChIJ3_gfvlQRrjsRHQEjp3sRdC8]
[(12.958298, 77.66633300000001)],[ChIJFeiG7O8TrjsR-WhtA7YqAjw]
[(12.9886479, 77.5581287)],[ChIJhzT7MIs9rjsRBXlc5AQXP_g]
[(12.9973093, 77.54698159999998)],[ChIJ35q_8pA9rjsRCqXNxq0otpE]
[(12.958402, 77.63644)],[ChIJyzx2rVURrjsRxnpHaVEh8PI]
[(12.935133, 77.56598299999996)],[ChIJeac3GYkVrjsRCaUY05OjNXs]
[(12.996635, 77.527286)],[ChIJWS-iC7A9rjsRlLr9ZaxpJy0]
[(12.9168085, 77.61024559999998)],[ChIJSRSn1v0UrjsR1ahuLIeXsiA]
[(12.9201728, 77.61965299999997)],[ChIJDeAlefcUrjsR6LknVSwVVGg]
[(12.9059078, 77.54241539999998)],[ChIJy2LKUcY_rjsRLqwsYdsAf4Y]
[(12.9266135, 77.6769984)],[ChIJx4vOBKATrjsRd-AuXMiIybs]
[(12.925033, 77.57048299999997)],[ChIJd30aoIMVrjsRgTK5RqEC468]
[(12.9188157, 77.62054119999993)],[ChIJByz4QPcUrjsRryrYUw22wBc]
[(12.9280823, 77.5729172)],[ChIJK-DFyYQVrjsR7GNWb_xWcko]
[(12.9279232, 77.62710779999998)],[ChIJ7S2Dkl4UrjsRLXuV4XOFNWU]
[(12.9097681, 77.58793400000002)],[ChIJfUrnfBIVrjsRIZR3dlPN7g4]
[(12.936052, 77.61454600000002)],[ChIJY5O1ikgUrjsRAICLxJvgbUY]
[(12.914999, 77.593298)],[ChIJC3G33w4VrjsRc3QPrC5msd0]
[(12.9243561, 77.59684859999993)],[ChIJtWZXeqgVrjsR2u0gtNXH-z0]
[(12.930924, 77.62280110000006)],[ChIJK8BZqFsUrjsRJ1BG2mUW8h8]
[(12.9285552, 77.63627999999994)],[ChIJVT4uWGEUrjsRYtYPXTm0Lys]
[(12.911534, 77.62688300000002)],[ChIJ0ZPYke0UrjsRG668jqMyaC4]
[(12.9274529, 77.590597)],[ChIJAQAAAKQVrjsR6BOFUlmu02U]
[(12.9537079, 77.57660290000001)],[ChIJX-OmdO8VrjsRcoSIPFj7_YQ]
[(12.924607, 77.56407460000003)],[ChIJqep-6IAVrjsR6nOLR89ALqs]
[(12.907623, 77.59478200000001)],[ChIJtafs9BAVrjsRzNAEIPrIEUE]
[(12.9200351, 77.61541620000003)],[ChIJq15UJP8UrjsR-TnnSi7Pm2I]
[(12.9576709, 77.58815549999997)],[ChIJ5TGx5NwVrjsRqO-iQGe1lkU]
[(12.9246784, 77.62130219999995)],[ChIJ1wsFaFgUrjsRZFaDLLu1qVU]
[(12.9539977, 77.59183719999999)],[ChIJE8R9PncWrjsRl2Rypukf1rQ]
[(12.9074269, 77.69546809999997)],[ChIJmeio5h4TrjsRMGKopb4jGqw]
[(12.9248175, 77.56476129999999)],[ChIJa0nj34AVrjsRAflVhAc5Z-E]
[(12.9140178, 77.6533882)],[ChIJBascqYIUrjsRnf4b4AWjoBc]
[(12.9471382, 77.5908733)],[ChIJ_wg_KscVrjsRrNyUphHW4zQ]
[(12.9211172, 77.60029179999992)],[ChIJAzoaYgcVrjsR_9jilGx2bpI]
[(12.9173684, 77.60411840000006)],[ChIJvYUiZQEVrjsRTfX72wefKzI]
[(12.9282231, 77.60941939999998)],[ChIJocR5-T4RrjsRd5q4s5B2KYk]
[(12.9282231, 77.60941939999998)],[ChIJcf9NnlQUrjsR9KsFsZg57FI]
[(12.9250423, 77.60019569999997)],[ChIJDU9Dp6kVrjsRpVPISD5W8-U]
[(12.9431368, 77.58499830000005)],[ChIJrxw64r8VrjsRRqRutPXS5Zs]
[(12.9357095, 77.6150192)],[ChIJ1WgOQE4UrjsRn5lwCu-P_IY]
[(12.928983, 77.609467)],[ChIJqTE_ZlMUrjsR8wegMWgsbDI]
[(12.953386, 77.61728199999993)],[ChIJlwrgoDsUrjsRmtzXSNU6M0A]
[(12.945927, 77.57681500000001)],[ChIJQTzf-uwVrjsR9k1ApsVbago]
[(12.9280817, 77.57904409999992)],[ChIJVVVVlZwVrjsRhTQCKCh6TOM]
[(12.929971, 77.58419300000003)],[ChIJaftXfZgVrjsR_HzfpQo7xBk]
[(12.9436995, 77.57999900000004)],[ChIJi-NWspQVrjsRLvLfQqFF86o]
[(12.935597, 77.63291500000003)],[ChIJ-fks4wMVrjsR9soG-7U4tvU]
[(12.9377577, 77.56563840000001)],[ChIJNzCx2YsVrjsRVl8IJ4-3tzg]
[(12.921121, 77.63472200000001)],[ChIJif9DIWQ9rjsRkXICLtuQK84]
[(12.921615, 77.574701)],[ChIJXa0aXZ0VrjsRbYR4Ul18KHI]
[(12.9245286, 77.56504700000005)],[ChIJC5OD1oAVrjsRZ6znaRrLdyU]
[(12.9356598, 77.61940090000007)],[ChIJs4kbX0UUrjsRQs1TcIFhaXc]
[(12.944934, 77.62012449999997)],[ChIJ_50A70cUrjsR5a85VjRJkKM]
[(12.933674, 77.589965)],[ChIJPcL7UaYVrjsRrXiHLVu5wfE]
[(12.930728, 77.58553319999999)],[ChIJ7WxNhaIVrjsROX3qTQeafHI]
[(12.943906, 77.58765829999993)],[ChIJHSyChb8VrjsRTGjNcodTDxQ]
[(12.927262, 77.63234499999999)],[ChIJ____sFsUrjsRNQ_VFioaTlY]
[(12.924871, 77.56624099999999)],[ChIJmaqqaoEVrjsROaE2cgvktNM]
[(12.953274, 77.64013)],[ChIJcb959o4UrjsRYlC0BktckTc]
[(12.93675, 77.57790699999998)],[ChIJv_mDQJEVrjsRmc5HwoFI46M]
[(12.9171477, 77.63806909999994)],[ChIJCSCuwY4UrjsRIiY8PCsQcTE]
[(12.9273873, 77.56431339999995)],[ChIJZ-evI4cVrjsRCySQEez7DYw]
[(12.940165, 77.57558300000005)],[ChIJy5UDUJIVrjsRykEB3JQIwYY]
[(12.947033, 77.56899999999996)],[ChIJWT23l_MVrjsRLEZ--Y1VGp0]
[(12.917534, 77.65045699999996)],[ChIJGWHptYMUrjsRQoQ4QgRm6LA]
