[(12.9585214, 77.65654339999992)],[ChIJUUPkxAgUrjsRcNdi7FEU7LA]
[(12.9566988, 77.71463589999996)],[ChIJlTHUxDsSrjsRDjYB-YK8SIE]
[(12.9781684, 77.66488349999997)],[ChIJNXaVaZkRrjsRg1ZXz-9nZN8]
[(12.984476, 77.74360090000005)],[ChIJN6uaPv0RrjsR7eGeK-aYafU]
[(12.9963854, 77.68870919999995)],[ChIJL4hVZQ0RrjsRknhjcahYYI8]
[(12.9756928, 77.72052759999997)],[ChIJizXr44oRrjsR0-lR88kBH3c]
[(12.9786267, 77.66573740000001)],[ChIJW3YQh1oRrjsR0k9e4GVD6GE]
[(13.022098, 77.71142699999996)],[ChIJezMBjU0QrjsR4qx1OQrWX5o]
[(12.980643, 77.72381700000005)],[ChIJE3mwE_MRrjsRnbWV5yKfEXQ]
[(12.972891, 77.67773799999998)],[ChIJhVTOa2ARrjsR5m7-KwGiQYA]
[(12.9833885, 77.73111900000004)],[ChIJs4l5OOURrjsR1O84HFz-gBQ]
